,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Judges Scientific PLC - Rating: 1% - Upside: 139%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2021,12/30/2021,8.500,00,,,,,,,,,,0.68%,8.500,00,57.50,7.323,09,3.024,86,5.335,47,127%,-14%,0.79%,1.90%,1.01%,-46.00%,-46.00%,0,1.08%,-1.62%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/31/2021,8.400,00,,,,,,,,,,0.68%,8.400,00,57.50,7.323,09,3.024,86,5.335,47,125%,-13%,0.79%,1.90%,1.02%,-45.36%,-45.36%,0,1.08%,-2.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/3/2022,,,,,,,,,,,0.82%,8.400,00,69.00,8.787,71,3.629,83,6.402,56,92%,5%,0.79%,1.90%,1.02%,-45.36%,-45.36%,0,1.08%,-2.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/4/2022,8.520,00,,,,,,,,,,0.81%,8.520,00,69.00,8.787,71,3.629,83,6.402,56,95%,3%,0.79%,1.90%,1.01%,-46.13%,-46.13%,0,1.08%,-1.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/5/2022,8.240,00,,,,,,,,,,0.84%,8.240,00,69.00,8.787,71,3.629,83,6.402,56,89%,7%,0.79%,1.90%,1.04%,-44.30%,-44.30%,0,1.08%,-4.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/6/2022,8.180,00,,,,,,,,,,0.84%,8.180,00,69.00,8.787,71,3.629,83,6.402,56,88%,7%,0.79%,1.90%,1.05%,-43.89%,-43.89%,0,1.08%,-5.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/7/2022,8.560,00,,,,,,,,,,0.81%,8.560,00,69.00,8.787,71,3.629,83,6.402,56,96%,3%,0.79%,1.90%,1.00%,-46.38%,-46.38%,0,1.08%,-0.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/10/2022,8.560,00,,,,,,,,,,0.81%,8.560,00,69.00,8.787,71,3.629,83,6.402,56,96%,3%,0.79%,1.90%,1.00%,-46.38%,-46.38%,0,1.08%,-0.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/11/2022,8.550,00,,,,,,,,,,0.81%,8.550,00,69.00,8.787,71,3.629,83,6.402,56,95%,3%,0.79%,1.90%,1.01%,-46.32%,-46.32%,0,1.08%,-1.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/12/2022,8.550,00,,,,,,,,,,0.81%,8.550,00,69.00,8.787,71,3.629,83,6.402,56,95%,3%,0.79%,1.90%,1.01%,-46.32%,-46.32%,0,1.08%,-1.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/13/2022,8.560,00,,,,,,,,,,0.81%,8.560,00,69.00,8.787,71,3.629,83,6.402,56,96%,3%,0.79%,1.90%,1.00%,-46.38%,-46.38%,0,1.08%,-0.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/14/2022,8.480,00,,,,,,,,,,0.81%,8.480,00,69.00,8.787,71,3.629,83,6.402,56,94%,4%,0.79%,1.90%,1.01%,-45.87%,-45.87%,0,1.08%,-1.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/17/2022,8.390,00,,,,,,,,,,0.82%,8.390,00,69.00,8.787,71,3.629,83,6.402,56,92%,5%,0.79%,1.90%,1.03%,-45.29%,-45.29%,0,1.08%,-2.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/18/2022,8.390,00,,,,,,,,,,0.82%,8.390,00,69.00,8.787,71,3.629,83,6.402,56,92%,5%,0.79%,1.90%,1.03%,-45.29%,-45.29%,0,1.08%,-2.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/19/2022,8.600,00,,,,,,,,,,0.80%,8.600,00,69.00,8.787,71,3.629,83,6.402,56,96%,2%,0.79%,1.90%,1.00%,-46.63%,-46.63%,0,1.08%,-0.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/20/2022,8.600,00,,,,,,,,,,0.80%,8.600,00,69.00,8.787,71,3.629,83,6.402,56,96%,2%,0.79%,1.90%,1.00%,-46.63%,-46.63%,0,1.08%,-0.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/21/2022,8.520,00,,,,,,,,,,0.81%,8.520,00,69.00,8.787,71,3.629,83,6.402,56,95%,3%,0.79%,1.90%,1.01%,-46.13%,-46.13%,0,1.08%,-1.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/24/2022,8.060,00,,,,,,,,,,0.86%,8.060,00,69.00,8.787,71,3.629,83,6.402,56,86%,9%,0.79%,1.90%,1.07%,-43.05%,-43.05%,0,1.08%,-6.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/25/2022,7.960,00,,,,,,,,,,0.87%,7.960,00,69.00,8.787,71,3.629,83,6.402,56,84%,10%,0.79%,1.90%,1.08%,-42.34%,-42.34%,0,1.08%,-7.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/26/2022,7.840,00,,,,,,,,,,0.88%,7.840,00,69.00,8.787,71,3.629,83,6.402,56,82%,12%,0.79%,1.90%,1.10%,-41.45%,-41.45%,0,1.08%,-9.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/27/2022,7.940,00,,,,,,,,,,0.87%,7.940,00,69.00,8.787,71,3.629,83,6.402,56,84%,11%,0.79%,1.90%,1.08%,-42.19%,-42.19%,0,1.08%,-8.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/28/2022,7.800,00,,,,,,,,,,0.88%,7.800,00,69.00,8.787,71,3.629,83,6.402,56,81%,13%,0.79%,1.90%,1.10%,-41.15%,-41.15%,0,1.08%,-9.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/31/2022,7.620,00,,,,,,,,,,0.91%,7.620,00,69.00,8.787,71,3.629,83,6.402,56,77%,15%,0.79%,1.90%,1.13%,-39.76%,-39.76%,0,1.08%,-11.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/1/2022,7.640,00,,,,,,,,,,0.90%,7.640,00,69.00,8.787,71,3.629,83,6.402,56,78%,15%,0.79%,1.90%,1.13%,-39.92%,-39.92%,0,1.08%,-11.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/2/2022,7.650,00,,,,,,,,,,0.90%,7.650,00,69.00,8.787,71,3.629,83,6.402,56,78%,15%,0.79%,1.90%,1.12%,-40.00%,-40.00%,0,1.08%,-11.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/3/2022,7.570,00,,,,,,,,,,0.91%,7.570,00,69.00,8.787,71,3.629,83,6.402,56,76%,16%,0.79%,1.90%,1.14%,-39.37%,-39.37%,0,1.08%,-12.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/4/2022,7.560,00,,,,,,,,,,0.91%,7.560,00,69.00,8.787,71,3.629,83,6.402,56,76%,16%,0.79%,1.90%,1.14%,-39.29%,-39.29%,0,1.08%,-12.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/7/2022,7.500,00,,,,,,,,,,0.92%,7.500,00,69.00,8.787,71,3.629,83,6.402,56,75%,17%,0.79%,1.90%,1.15%,-38.80%,-38.80%,0,1.08%,-13.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/8/2022,7.520,00,,,,,,,,,,0.92%,7.520,00,69.00,8.787,71,3.629,83,6.402,56,75%,17%,0.79%,1.90%,1.14%,-38.96%,-38.96%,0,1.08%,-12.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/9/2022,7.580,00,,,,,,,,,,0.91%,7.580,00,69.00,8.787,71,3.629,83,6.402,56,77%,16%,0.79%,1.90%,1.13%,-39.45%,-39.45%,0,1.08%,-12.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/10/2022,7.630,00,,,,,,,,,,0.90%,7.630,00,69.00,8.787,71,3.629,83,6.402,56,78%,15%,0.79%,1.90%,1.13%,-39.84%,-39.84%,0,1.08%,-11.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/11/2022,7.560,00,,,,,,,,,,0.91%,7.560,00,69.00,8.787,71,3.629,83,6.402,56,76%,16%,0.79%,1.90%,1.14%,-39.29%,-39.29%,0,1.08%,-12.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/14/2022,7.500,00,,,,,,,,,,0.92%,7.500,00,69.00,8.787,71,3.629,83,6.402,56,75%,17%,0.79%,1.90%,1.15%,-38.80%,-38.80%,0,1.08%,-13.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/15/2022,7.400,00,,,,,,,,,,0.93%,7.400,00,69.00,8.787,71,3.629,83,6.402,56,73%,19%,0.79%,1.90%,1.16%,-37.97%,-37.97%,0,1.08%,-14.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/16/2022,7.280,00,,,,,,,,,,0.95%,7.280,00,69.00,8.787,71,3.629,83,6.402,56,71%,21%,0.79%,1.90%,1.18%,-36.95%,-36.95%,0,1.08%,-15.74%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/17/2022,7.180,00,,,,,,,,,,0.96%,7.180,00,69.00,8.787,71,3.629,83,6.402,56,69%,22%,0.79%,1.90%,1.20%,-36.07%,-36.07%,0,1.08%,-16.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/18/2022,7.050,00,,,,,,,,,,0.98%,7.050,00,69.00,8.787,71,3.629,83,6.402,56,66%,25%,0.79%,1.90%,1.22%,-34.89%,-34.89%,0,1.08%,-18.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/21/2022,6.600,00,,,,,,,,,,1.05%,6.600,00,69.00,8.787,71,3.629,83,6.402,56,58%,33%,0.79%,1.90%,1.30%,-30.45%,-30.45%,0,1.08%,-23.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/22/2022,6.700,00,,,,,,,,,,1.03%,6.700,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.49%,-31.49%,0,1.08%,-22.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/23/2022,6.900,00,,,,,,,,,,1.00%,6.900,00,69.00,8.787,71,3.629,83,6.402,56,63%,27%,0.79%,1.90%,1.25%,-33.48%,-33.48%,0,1.08%,-20.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/24/2022,6.720,00,,,,,,,,,,1.03%,6.720,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.70%,-31.70%,0,1.08%,-22.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/25/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/28/2022,7.300,00,,,,,,,,,,0.95%,7.300,00,69.00,8.787,71,3.629,83,6.402,56,71%,20%,0.79%,1.90%,1.18%,-37.12%,-37.12%,0,1.08%,-15.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/1/2022,6.920,00,,,,,,,,,,1.00%,6.920,00,69.00,8.787,71,3.629,83,6.402,56,64%,27%,0.79%,1.90%,1.24%,-33.67%,-33.67%,0,1.08%,-19.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/2/2022,7.220,00,,,,,,,,,,0.96%,7.220,00,69.00,8.787,71,3.629,83,6.402,56,70%,22%,0.79%,1.90%,1.19%,-36.43%,-36.43%,0,1.08%,-16.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/3/2022,6.800,00,,,,,,,,,,1.01%,6.800,00,69.00,8.787,71,3.629,83,6.402,56,61%,29%,0.79%,1.90%,1.26%,-32.50%,-32.50%,0,1.08%,-21.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/4/2022,6.500,00,,,,,,,,,,1.06%,6.500,00,69.00,8.787,71,3.629,83,6.402,56,56%,35%,0.79%,1.90%,1.32%,-29.38%,-29.38%,0,1.08%,-24.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/7/2022,6.370,00,,,,,,,,,,1.08%,6.370,00,69.00,8.787,71,3.629,83,6.402,56,53%,38%,0.79%,1.90%,1.35%,-27.94%,-27.94%,0,1.08%,-26.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/8/2022,6.090,00,,,,,,,,,,1.13%,6.090,00,69.00,8.787,71,3.629,83,6.402,56,48%,44%,0.79%,1.90%,1.41%,-24.63%,-24.63%,0,1.08%,-29.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/9/2022,6.280,00,,,,,,,,,,1.10%,6.280,00,69.00,8.787,71,3.629,83,6.402,56,51%,40%,0.79%,1.90%,1.37%,-26.91%,-26.91%,0,1.08%,-27.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/10/2022,6.300,00,,,,,,,,,,1.10%,6.300,00,69.00,8.787,71,3.629,83,6.402,56,52%,39%,0.79%,1.90%,1.37%,-27.14%,-27.14%,0,1.08%,-27.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/11/2022,6.300,00,,,,,,,,,,1.10%,6.300,00,69.00,8.787,71,3.629,83,6.402,56,52%,39%,0.79%,1.90%,1.37%,-27.14%,-27.14%,0,1.08%,-27.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/14/2022,6.420,00,,,,,,,,,,1.07%,6.420,00,69.00,8.787,71,3.629,83,6.402,56,54%,37%,0.79%,1.90%,1.34%,-28.50%,-28.50%,0,1.08%,-25.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/15/2022,6.420,00,,,,,,,,,,1.07%,6.420,00,69.00,8.787,71,3.629,83,6.402,56,54%,37%,0.79%,1.90%,1.34%,-28.50%,-28.50%,0,1.08%,-25.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/16/2022,6.500,00,,,,,,,,,,1.06%,6.500,00,69.00,8.787,71,3.629,83,6.402,56,56%,35%,0.79%,1.90%,1.32%,-29.38%,-29.38%,0,1.08%,-24.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/17/2022,6.400,00,,,,,,,,,,1.08%,6.400,00,69.00,8.787,71,3.629,83,6.402,56,54%,37%,0.79%,1.90%,1.34%,-28.28%,-28.28%,0,1.08%,-25.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/18/2022,6.500,00,,,,,,,,,,1.06%,6.500,00,69.00,8.787,71,3.629,83,6.402,56,56%,35%,0.79%,1.90%,1.32%,-29.38%,-29.38%,0,1.08%,-24.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/21/2022,6.720,00,,,,,,,,,,1.03%,6.720,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.70%,-31.70%,0,1.08%,-22.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/22/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/23/2022,7.800,00,,,,,,,,,,0.88%,7.800,00,69.00,8.787,71,3.629,83,6.402,56,81%,13%,0.79%,1.90%,1.10%,-41.15%,-41.15%,0,1.08%,-9.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/24/2022,7.500,00,,,,,,,,,,0.92%,7.500,00,69.00,8.787,71,3.629,83,6.402,56,75%,17%,0.79%,1.90%,1.15%,-38.80%,-38.80%,0,1.08%,-13.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/25/2022,7.600,00,,,,,,,,,,0.91%,7.600,00,69.00,8.787,71,3.629,83,6.402,56,77%,16%,0.79%,1.90%,1.13%,-39.61%,-39.61%,0,1.08%,-12.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/28/2022,7.450,00,,,,,,,,,,0.93%,7.450,00,69.00,8.787,71,3.629,83,6.402,56,74%,18%,0.79%,1.90%,1.15%,-38.39%,-38.39%,0,1.08%,-13.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/29/2022,7.380,00,,,,,,,,,,0.93%,7.380,00,69.00,8.787,71,3.629,83,6.402,56,73%,19%,0.79%,1.90%,1.17%,-37.80%,-37.80%,0,1.08%,-14.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/30/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/31/2022,6.840,00,,,,,,,,,,1.01%,6.840,00,69.00,8.787,71,3.629,83,6.402,56,62%,28%,0.79%,1.90%,1.26%,-32.89%,-32.89%,0,1.08%,-20.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/1/2022,6.800,00,,,,,,,,,,1.01%,6.800,00,69.00,8.787,71,3.629,83,6.402,56,61%,29%,0.79%,1.90%,1.26%,-32.50%,-32.50%,0,1.08%,-21.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/4/2022,6.700,00,,,,,,,,,,1.03%,6.700,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.49%,-31.49%,0,1.08%,-22.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/5/2022,6.600,00,,,,,,,,,,1.05%,6.600,00,69.00,8.787,71,3.629,83,6.402,56,58%,33%,0.79%,1.90%,1.30%,-30.45%,-30.45%,0,1.08%,-23.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/6/2022,6.500,00,,,,,,,,,,1.06%,6.500,00,69.00,8.787,71,3.629,83,6.402,56,56%,35%,0.79%,1.90%,1.32%,-29.38%,-29.38%,0,1.08%,-24.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/7/2022,6.640,00,,,,,,,,,,1.04%,6.640,00,69.00,8.787,71,3.629,83,6.402,56,58%,32%,0.79%,1.90%,1.30%,-30.87%,-30.87%,0,1.08%,-23.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/8/2022,6.780,00,,,,,,,,,,1.02%,6.780,00,69.00,8.787,71,3.629,83,6.402,56,61%,30%,0.79%,1.90%,1.27%,-32.30%,-32.30%,0,1.08%,-21.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/11/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/12/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/13/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/14/2022,7.340,00,,,,,,,,,,0.94%,7.340,00,69.00,8.787,71,3.629,83,6.402,56,72%,20%,0.79%,1.90%,1.17%,-37.47%,-37.47%,0,1.08%,-15.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/19/2022,7.300,00,,,,,,,,,,0.95%,7.300,00,69.00,8.787,71,3.629,83,6.402,56,71%,20%,0.79%,1.90%,1.18%,-37.12%,-37.12%,0,1.08%,-15.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/20/2022,7.200,00,,,,,,,,,,0.96%,7.200,00,69.00,8.787,71,3.629,83,6.402,56,69%,22%,0.79%,1.90%,1.19%,-36.25%,-36.25%,0,1.08%,-16.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/21/2022,7.200,00,,,,,,,,,,0.96%,7.200,00,69.00,8.787,71,3.629,83,6.402,56,69%,22%,0.79%,1.90%,1.19%,-36.25%,-36.25%,0,1.08%,-16.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/22/2022,7.150,00,,,,,,,,,,0.97%,7.150,00,69.00,8.787,71,3.629,83,6.402,56,68%,23%,0.79%,1.90%,1.20%,-35.80%,-35.80%,0,1.08%,-17.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/25/2022,7.000,00,,,,,,,,,,0.99%,7.000,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.43%,-34.43%,0,1.08%,-18.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/26/2022,6.900,00,,,,,,,,,,1.00%,6.900,00,69.00,8.787,71,3.629,83,6.402,56,63%,27%,0.79%,1.90%,1.25%,-33.48%,-33.48%,0,1.08%,-20.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/27/2022,6.800,00,,,,,,,,,,1.01%,6.800,00,69.00,8.787,71,3.629,83,6.402,56,61%,29%,0.79%,1.90%,1.26%,-32.50%,-32.50%,0,1.08%,-21.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/28/2022,6.720,00,,,,,,,,,,1.03%,6.720,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.70%,-31.70%,0,1.08%,-22.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/29/2022,6.700,00,,,,,,,,,,1.03%,6.700,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.49%,-31.49%,0,1.08%,-22.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/2/2022,,,,,,,,,,,1.03%,6.700,00,69.00,8.787,71,3.629,83,6.402,56,60%,31%,0.79%,1.90%,1.28%,-31.49%,-31.49%,0,1.08%,-22.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/3/2022,6.800,00,,,,,,,,,,1.01%,6.800,00,69.00,8.787,71,3.629,83,6.402,56,61%,29%,0.79%,1.90%,1.26%,-32.50%,-32.50%,0,1.08%,-21.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/4/2022,6.800,00,,,,,,,,,,1.01%,6.800,00,69.00,8.787,71,3.629,83,6.402,56,61%,29%,0.79%,1.90%,1.26%,-32.50%,-32.50%,0,1.08%,-21.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/5/2022,6.820,00,,,,,,,,,,1.01%,6.820,00,69.00,8.787,71,3.629,83,6.402,56,62%,29%,0.79%,1.90%,1.26%,-32.70%,-32.70%,0,1.08%,-21.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/6/2022,7.160,00,,,,,,,,,,0.96%,7.160,00,69.00,8.787,71,3.629,83,6.402,56,68%,23%,0.79%,1.90%,1.20%,-35.89%,-35.89%,0,1.08%,-17.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/9/2022,6.980,00,,,,,,,,,,0.99%,6.980,00,69.00,8.787,71,3.629,83,6.402,56,65%,26%,0.79%,1.90%,1.23%,-34.24%,-34.24%,0,1.08%,-19.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/10/2022,7.140,00,,,,,,,,,,0.97%,7.140,00,69.00,8.787,71,3.629,83,6.402,56,68%,23%,0.79%,1.90%,1.20%,-35.71%,-35.71%,0,1.08%,-17.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/11/2022,7.130,00,,,,,,,,,,0.97%,7.130,00,69.00,8.787,71,3.629,83,6.402,56,68%,23%,0.79%,1.90%,1.21%,-35.62%,-35.62%,0,1.08%,-17.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/12/2022,7.100,00,,,,,,,,,,0.97%,7.100,00,69.00,8.787,71,3.629,83,6.402,56,67%,24%,0.79%,1.90%,1.21%,-35.35%,-35.35%,0,1.08%,-17.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/13/2022,7.200,00,,,,,,,,,,0.96%,7.200,00,69.00,8.787,71,3.629,83,6.402,56,69%,22%,0.79%,1.90%,1.19%,-36.25%,-36.25%,0,1.08%,-16.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/16/2022,7.400,00,,,,,,,,,,0.93%,7.400,00,69.00,8.787,71,3.629,83,6.402,56,73%,19%,0.79%,1.90%,1.16%,-37.97%,-37.97%,0,1.08%,-14.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/17/2022,7.340,00,,,,,,,,,,0.94%,7.340,00,69.00,8.787,71,3.629,83,6.402,56,72%,20%,0.79%,1.90%,1.17%,-37.47%,-37.47%,0,1.08%,-15.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/18/2022,7.300,00,,,,,,,,,,0.95%,7.300,00,69.00,8.787,71,3.629,83,6.402,56,71%,20%,0.79%,1.90%,1.18%,-37.12%,-37.12%,0,1.08%,-15.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/19/2022,6.900,00,,,,,,,,,,1.00%,6.900,00,69.00,8.787,71,3.629,83,6.402,56,63%,27%,0.79%,1.90%,1.25%,-33.48%,-33.48%,0,1.08%,-20.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/20/2022,6.860,00,,,,,,,,,,1.01%,6.860,00,69.00,8.787,71,3.629,83,6.402,56,63%,28%,0.79%,1.90%,1.25%,-33.09%,-33.09%,0,1.08%,-20.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/23/2022,7.900,00,,,,,,,,,,0.87%,7.900,00,69.00,8.787,71,3.629,83,6.402,56,83%,11%,0.79%,1.90%,1.09%,-41.90%,-41.90%,0,1.08%,-8.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/24/2022,8.040,00,,,,,,,,,,0.86%,8.040,00,69.00,8.787,71,3.629,83,6.402,56,86%,9%,0.79%,1.90%,1.07%,-42.91%,-42.91%,0,1.08%,-6.94%,,,,,,,,,,,,
