,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UU/ LN,United Utilities Group PLC,,,,,,,,,,129%,-8%,$ 1.366,00,$       856.03,$   1.055,20,$       1.457,00,$   1.250,00,6.14%,3.75%,4.51%,7.15%,108.23%,120.73%,153%,,,,,,,NO,,,6.01%,3.40%,2.62%,0.04%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,United Utilities Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.48%,11/10/2017,,,,,,,,,,$   1.055,20,-23%,3.44%,$   1.250,00,$       867.68,$          656.00,$        703.91,3.22%,5.48%,4.45%,3.22%,-6.25%,-6.25%,-23%,,,,5Y CAGR,1.61%,,United Utilities Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.98%,,United Utilities Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,United Utilities Group PLC - Rating: 129% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,3/7/2016,908.50,,,11/9/2015,,11/9/2015,,,,,4.25%,908.50,38.59,1.027,86,703.91,867.68,63%,13%,3.75%,5.48%,5.17%,50.36%,67.94%,159.72,4.45%,-6.05%,,,,,1/1/2012,2012,,45,5.20%,30,2399,1.11%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,900.50,,,11/16/2015,,11/16/2015,,,,,4.29%,900.50,38.59,1.027,86,703.91,867.68,61%,14%,3.75%,5.48%,5.21%,51.69%,69.43%,159.72,4.45%,-6.88%,,,,,1/1/2013,2013,,46,5.24%,37,2436,1.37%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,899.50,,,11/23/2015,,11/23/2015,,,,,4.29%,899.50,38.59,1.027,86,703.91,867.68,60%,14%,3.75%,5.48%,5.22%,51.86%,69.62%,159.72,4.45%,-6.98%,,,,,1/1/2014,2014,,47,5.28%,28,2464,1.04%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,891.50,,,11/30/2015,,11/30/2015,,,,,4.33%,891.50,38.59,1.027,86,703.91,867.68,58%,15%,3.75%,5.48%,5.26%,53.22%,71.14%,159.72,4.45%,-7.81%,,,,,1/1/2015,2015,,48,5.32%,22,2486,0.81%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,897.00,,,12/7/2015,,12/7/2015,,,,,4.30%,897.00,38.59,1.027,86,703.91,867.68,60%,15%,3.75%,5.48%,5.23%,52.29%,70.09%,159.72,4.45%,-7.24%,,,,,1/1/2016,2016,,49,5.36%,22,2508,0.81%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,904.00,,,12/14/2015,,12/14/2015,,,,,4.27%,904.00,38.59,1.027,86,703.91,867.68,62%,14%,3.75%,5.48%,5.19%,51.11%,68.77%,159.72,4.45%,-6.51%,,,,,1/1/2017,2017,,50,5.40%,14,2522,0.52%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,899.50,,,12/21/2015,,12/21/2015,,,,,4.29%,899.50,38.59,1.027,86,703.91,867.68,60%,14%,3.75%,5.48%,5.22%,51.86%,69.62%,159.72,4.45%,-6.98%,,,,,1/1/2018,2018,,51,5.44%,27,2549,1.00%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,901.50,,,12/29/2015,,12/28/2015,,,,,4.28%,901.50,38.59,1.027,86,703.91,867.68,61%,14%,3.75%,5.48%,5.21%,51.53%,69.24%,159.72,4.45%,-6.77%,,,,,1/1/2019,2019,,52,5.48%,15,2564,0.56%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,909.50,,,1/4/2016,,1/4/2016,,,,,4.24%,909.50,38.59,1.027,86,703.91,867.68,63%,13%,3.75%,5.48%,5.16%,50.19%,67.75%,159.72,4.45%,-5.95%,,,,,1/1/2020,2020,,53,5.52%,8,2572,0.30%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,915.50,,,1/11/2016,,1/11/2016,,,,,4.22%,915.50,38.59,1.027,86,703.91,867.68,65%,12%,3.75%,5.48%,5.13%,49.21%,66.65%,159.72,4.45%,-5.33%,,,,,,,,54,5.56%,13,2585,0.48%
