,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,,2017,10/24/2017,94.12 CHF,,,10/9/2023,,10/9/2023,,,,,74.37%,94.12 CHF,70.00,2.037,17,77.65,94.33,1%,2064%,3.44%,90.14%,3.40%,0.76%,237.70%,223,74.21%,-2.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/25/2017,94.24 CHF,,,10/16/2023,,10/16/2023,,,,,74.28%,94.24 CHF,70.00,2.037,17,77.65,94.33,1%,2062%,3.44%,90.14%,3.40%,0.64%,237.27%,223,74.21%,-1.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/26/2017,96.20 CHF,,,10/23/2023,,10/23/2023,,,,,72.77%,96.20 CHF,70.00,2.037,17,77.65,94.33,1%,2018%,3.44%,90.14%,3.33%,-1.41%,230.40%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/27/2017,96.56 CHF,,,10/30/2023,,10/30/2023,,,,,72.49%,96.56 CHF,70.00,2.037,17,77.65,94.33,1%,2010%,3.44%,90.14%,3.31%,-1.78%,229.16%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/30/2017,97.20 CHF,,,11/6/2023,,11/6/2023,,,,,72.02%,97.20 CHF,70.00,2.037,17,77.65,94.33,1%,1996%,3.44%,90.14%,3.29%,-2.43%,227.00%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/31/2017,98.64 CHF,,,11/13/2023,,11/13/2023,,,,,70.97%,98.64 CHF,70.00,2.037,17,77.65,94.33,1%,1965%,3.44%,90.14%,3.24%,-3.85%,222.22%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/1/2017,98.36 CHF,,,11/20/2023,,11/20/2023,,,,,71.17%,98.36 CHF,70.00,2.037,17,77.65,94.33,1%,1971%,3.44%,90.14%,3.25%,-3.58%,223.14%,223,74.21%,-0.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/2/2017,98.72 CHF,,,11/27/2023,,11/27/2023,,,,,70.91%,98.72 CHF,70.00,2.037,17,77.65,94.33,1%,1964%,3.44%,90.14%,3.24%,-3.93%,221.96%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/3/2017,98.92 CHF,,,12/4/2023,,12/4/2023,,,,,70.76%,98.92 CHF,70.00,2.037,17,77.65,94.33,1%,1959%,3.44%,90.14%,3.23%,-4.12%,221.31%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/6/2017,98.60 CHF,,,12/11/2023,,12/11/2023,,,,,70.99%,98.60 CHF,70.00,2.037,17,77.65,94.33,1%,1966%,3.44%,90.14%,3.25%,-3.81%,222.35%,223,74.21%,-0.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/7/2017,98.68 CHF,,,12/18/2023,,12/18/2023,,,,,70.94%,98.68 CHF,70.00,2.037,17,77.65,94.33,1%,1964%,3.44%,90.14%,3.24%,-3.89%,222.09%,223,74.21%,-0.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/8/2017,97.80 CHF,,,12/27/2023,,12/26/2023,,,,,71.57%,97.80 CHF,70.00,2.037,17,77.65,94.33,1%,1983%,3.44%,90.14%,3.27%,-3.03%,224.99%,223,74.21%,-1.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/9/2017,96.96 CHF,,,1/3/2024,,1/2/2024,,,,,72.19%,96.96 CHF,70.00,2.037,17,77.65,94.33,1%,2001%,3.44%,90.14%,3.30%,-2.19%,227.81%,223,74.21%,-1.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/10/2017,97.04 CHF,,,1/8/2024,,1/8/2024,,,,,72.14%,97.04 CHF,70.00,2.037,17,77.65,94.33,1%,1999%,3.44%,90.14%,3.30%,-2.27%,227.54%,223,74.21%,-1.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/13/2017,96.76 CHF,,,1/15/2024,,1/16/2024,,,,,72.34%,96.76 CHF,70.00,2.037,17,77.65,94.33,1%,2005%,3.44%,90.14%,3.31%,-1.98%,228.48%,223,74.21%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/14/2017,96.84 CHF,,,1/22/2024,,1/22/2024,,,,,72.28%,96.84 CHF,70.00,2.037,17,77.65,94.33,1%,2004%,3.44%,90.14%,3.30%,-2.07%,228.21%,223,74.21%,-2.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/15/2017,96.16 CHF,,,1/29/2024,,1/29/2024,,,,,72.80%,96.16 CHF,70.00,2.037,17,77.65,94.33,1%,2019%,3.44%,90.14%,3.33%,-1.37%,230.53%,223,74.21%,-2.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/16/2017,96.92 CHF,,,2/5/2024,,2/5/2024,,,,,72.22%,96.92 CHF,70.00,2.037,17,77.65,94.33,1%,2002%,3.44%,90.14%,3.30%,-2.15%,227.94%,223,74.21%,-2.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/17/2017,95.64 CHF,,,2/12/2024,,2/12/2024,,,,,73.19%,95.64 CHF,70.00,2.037,17,77.65,94.33,1%,2030%,3.44%,90.14%,3.35%,-0.84%,232.33%,223,74.21%,-3.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/20/2017,97.08 CHF,,,2/19/2024,,2/20/2024,,,,,72.11%,97.08 CHF,70.00,2.037,17,77.65,94.33,1%,1998%,3.44%,90.14%,3.30%,-2.31%,227.40%,223,74.21%,-1.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/21/2017,97.08 CHF,,,2/26/2024,,2/26/2024,,,,,72.11%,97.08 CHF,70.00,2.037,17,77.65,94.33,1%,1998%,3.44%,90.14%,3.30%,-2.31%,227.40%,223,74.21%,-1.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/22/2017,95.96 CHF,,,3/4/2024,,3/4/2024,,,,,72.95%,95.96 CHF,70.00,2.037,17,77.65,94.33,1%,2023%,3.44%,90.14%,3.33%,-1.17%,231.22%,223,74.21%,-2.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/23/2017,96.52 CHF,,,3/11/2024,,3/11/2024,,,,,72.52%,96.52 CHF,70.00,2.037,17,77.65,94.33,1%,2011%,3.44%,90.14%,3.32%,-1.74%,229.30%,223,74.21%,-2.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/24/2017,96.92 CHF,,,3/18/2024,,3/18/2024,,,,,72.22%,96.92 CHF,70.00,2.037,17,77.65,94.33,1%,2002%,3.44%,90.14%,3.30%,-2.15%,227.94%,223,74.21%,-2.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/27/2017,96.60 CHF,,,3/25/2024,,3/25/2024,,,,,72.46%,96.60 CHF,70.00,2.037,17,77.65,94.33,1%,2009%,3.44%,90.14%,3.31%,-1.82%,229.03%,223,74.21%,-2.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/28/2017,97.48 CHF,,,4/2/2024,,4/1/2024,,,,,71.81%,97.48 CHF,70.00,2.037,17,77.65,94.33,1%,1990%,3.44%,90.14%,3.28%,-2.71%,226.06%,223,74.21%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/29/2017,96.08 CHF,,,4/8/2024,,4/8/2024,,,,,72.86%,96.08 CHF,70.00,2.037,17,77.65,94.33,1%,2020%,3.44%,90.14%,3.33%,-1.29%,230.81%,223,74.21%,-2.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/30/2017,97.04 CHF,,,4/15/2024,,4/15/2024,,,,,72.14%,97.04 CHF,70.00,2.037,17,77.65,94.33,1%,1999%,3.44%,90.14%,3.30%,-2.27%,227.54%,223,74.21%,-1.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/1/2017,97.00 CHF,,,4/22/2024,,4/22/2024,,,,,72.16%,97.00 CHF,70.00,2.037,17,77.65,94.33,1%,2000%,3.44%,90.14%,3.30%,-2.23%,227.67%,223,74.21%,-1.94%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/4/2017,97.84 CHF,,,4/29/2024,,4/29/2024,,,,,71.55%,97.84 CHF,70.00,2.037,17,77.65,94.33,1%,1982%,3.44%,90.14%,3.27%,-3.07%,224.86%,223,74.21%,-1.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/5/2017,97.96 CHF,,,5/6/2024,,5/6/2024,,,,,71.46%,97.96 CHF,70.00,2.037,17,77.65,94.33,1%,1980%,3.44%,90.14%,3.27%,-3.18%,224.46%,223,74.21%,-0.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/6/2017,98.36 CHF,,,5/13/2024,,5/13/2024,,,,,71.17%,98.36 CHF,70.00,2.037,17,77.65,94.33,1%,1971%,3.44%,90.14%,3.25%,-3.58%,223.14%,223,74.21%,-0.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/7/2017,98.76 CHF,,,5/21/2024,,5/20/2024,,,,,70.88%,98.76 CHF,70.00,2.037,17,77.65,94.33,1%,1963%,3.44%,90.14%,3.24%,-3.97%,221.83%,223,74.21%,-0.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/8/2017,99.16 CHF,,,5/27/2024,,5/28/2024,,,,,70.59%,99.16 CHF,70.00,2.037,17,77.65,94.33,1%,1954%,3.44%,90.14%,3.23%,-4.36%,220.53%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/11/2017,98.16 CHF,,,6/3/2024,,6/3/2024,,,,,71.31%,98.16 CHF,70.00,2.037,17,77.65,94.33,1%,1975%,3.44%,90.14%,3.26%,-3.38%,223.80%,223,74.21%,-1.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/12/2017,98.80 CHF,,,6/10/2024,,6/10/2024,,,,,70.85%,98.80 CHF,70.00,2.037,17,77.65,94.33,1%,1962%,3.44%,90.14%,3.24%,-4.01%,221.70%,223,74.21%,-0.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/13/2017,98.96 CHF,,,6/17/2024,,6/17/2024,,,,,70.74%,98.96 CHF,70.00,2.037,17,77.65,94.33,1%,1959%,3.44%,90.14%,3.23%,-4.16%,221.18%,223,74.21%,-0.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/14/2017,99.04 CHF,,,6/24/2024,,6/24/2024,,,,,70.68%,99.04 CHF,70.00,2.037,17,77.65,94.33,1%,1957%,3.44%,90.14%,3.23%,-4.24%,220.92%,223,74.21%,-0.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/15/2017,98.76 CHF,,,7/1/2024,,7/1/2024,,,,,70.88%,98.76 CHF,70.00,2.037,17,77.65,94.33,1%,1963%,3.44%,90.14%,3.24%,-3.97%,221.83%,223,74.21%,-0.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/18/2017,99.80 CHF,,,7/8/2024,,7/8/2024,,,,,70.14%,99.80 CHF,70.00,2.037,17,77.65,94.33,1%,1941%,3.44%,90.14%,3.21%,-4.97%,218.48%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/19/2017,99.44 CHF,,,7/15/2024,,7/15/2024,,,,,70.39%,99.44 CHF,70.00,2.037,17,77.65,94.33,1%,1949%,3.44%,90.14%,3.22%,-4.63%,219.63%,223,74.21%,-0.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/20/2017,99.08 CHF,,,7/22/2024,,7/22/2024,,,,,70.65%,99.08 CHF,70.00,2.037,17,77.65,94.33,1%,1956%,3.44%,90.14%,3.23%,-4.28%,220.79%,223,74.21%,-0.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/21/2017,100.76 CHF,,,7/29/2024,,7/29/2024,,,,,69.47%,100.76 CHF,70.00,2.037,17,77.65,94.33,1%,1922%,3.44%,90.14%,3.18%,-5.88%,215.44%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/22/2017,101.24 CHF,,,8/5/2024,,8/5/2024,,,,,69.14%,101.24 CHF,70.00,2.037,17,77.65,94.33,1%,1912%,3.44%,90.14%,3.16%,-6.32%,213.95%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/27/2017,101.40 CHF,,,8/12/2024,,8/12/2024,,,,,69.03%,101.40 CHF,70.00,2.037,17,77.65,94.33,1%,1909%,3.44%,90.14%,3.16%,-6.47%,213.45%,223,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/28/2017,101.20 CHF,,,8/19/2024,,8/19/2024,,,,,69.17%,101.20 CHF,70.00,2.037,17,77.65,94.33,1%,1913%,3.44%,90.14%,3.16%,-6.28%,214.07%,223,74.21%,-0.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/29/2017,101.24 CHF,,,8/26/2024,,8/26/2024,,,,,69.14%,101.24 CHF,70.00,2.037,17,77.65,94.33,1%,1912%,3.44%,90.14%,3.16%,-6.32%,213.95%,223,74.21%,-0.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/3/2018,102.36 CHF,,,9/2/2024,,9/3/2024,,,,,73.27%,102.36 CHF,75.00,2.182,69,83.20,101.06,1%,2032%,3.44%,90.14%,3.13%,-7.35%,142.13%,153,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/4/2018,103.24 CHF,,,9/9/2024,,9/9/2024,,,,,72.65%,103.24 CHF,75.00,2.182,69,83.20,101.06,1%,2014%,3.44%,90.14%,3.10%,-8.14%,140.06%,153,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/5/2018,104.12 CHF,,,9/16/2024,,9/16/2024,,,,,72.03%,104.12 CHF,75.00,2.182,69,83.20,101.06,1%,1996%,3.44%,90.14%,3.07%,-8.91%,138.03%,153,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/8/2018,103.88 CHF,,,9/23/2024,,9/23/2024,,,,,72.20%,103.88 CHF,75.00,2.182,69,83.20,101.06,1%,2001%,3.44%,90.14%,3.08%,-8.70%,138.58%,153,74.21%,-0.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/9/2018,104.28 CHF,,,9/30/2024,,9/30/2024,,,,,71.92%,104.28 CHF,75.00,2.182,69,83.20,101.06,1%,1993%,3.44%,90.14%,3.07%,-9.05%,137.67%,153,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/10/2018,103.48 CHF,,,10/7/2024,,10/7/2024,,,,,72.48%,103.48 CHF,75.00,2.182,69,83.20,101.06,1%,2009%,3.44%,90.14%,3.09%,-8.35%,139.51%,153,74.21%,-0.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/11/2018,103.20 CHF,,,10/14/2024,,10/14/2024,,,,,72.67%,103.20 CHF,75.00,2.182,69,83.20,101.06,1%,2015%,3.44%,90.14%,3.10%,-8.10%,140.16%,153,74.21%,-1.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/12/2018,102.76 CHF,,,10/21/2024,,10/21/2024,,,,,72.99%,102.76 CHF,75.00,2.182,69,83.20,101.06,1%,2024%,3.44%,90.14%,3.11%,-7.71%,141.18%,153,74.21%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/15/2018,103.52 CHF,,,10/28/2024,,10/28/2024,,,,,72.45%,103.52 CHF,75.00,2.182,69,83.20,101.06,1%,2008%,3.44%,90.14%,3.09%,-8.38%,139.41%,153,74.21%,-0.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/16/2018,104.24 CHF,,,11/4/2024,,11/4/2024,,,,,71.95%,104.24 CHF,75.00,2.182,69,83.20,101.06,1%,1994%,3.44%,90.14%,3.07%,-9.02%,137.76%,153,74.21%,-0.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/17/2018,104.28 CHF,,,11/11/2024,,11/11/2024,,,,,71.92%,104.28 CHF,75.00,2.182,69,83.20,101.06,1%,1993%,3.44%,90.14%,3.07%,-9.05%,137.67%,153,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/18/2018,104.12 CHF,,,11/18/2024,,11/18/2024,,,,,72.03%,104.12 CHF,75.00,2.182,69,83.20,101.06,1%,1996%,3.44%,90.14%,3.07%,-8.91%,138.03%,153,74.21%,-0.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/19/2018,105.16 CHF,,,11/25/2024,,11/25/2024,,,,,71.32%,105.16 CHF,75.00,2.182,69,83.20,101.06,1%,1976%,3.44%,90.14%,3.04%,-9.81%,135.68%,153,74.21%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/22/2018,105.12 CHF,,,12/2/2024,,12/2/2024,,,,,71.35%,105.12 CHF,75.00,2.182,69,83.20,101.06,1%,1976%,3.44%,90.14%,3.04%,-9.78%,135.77%,153,74.21%,-0.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/23/2018,101.60 CHF,,,12/9/2024,,12/9/2024,,,,,73.82%,101.60 CHF,75.00,2.182,69,83.20,101.06,1%,2048%,3.44%,90.14%,3.15%,-6.65%,143.94%,153,74.21%,-3.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/24/2018,101.72 CHF,,,12/16/2024,,12/16/2024,,,,,73.73%,101.72 CHF,75.00,2.182,69,83.20,101.06,1%,2046%,3.44%,90.14%,3.15%,-6.76%,143.65%,153,74.21%,-3.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/25/2018,101.16 CHF,,,12/23/2024,,12/23/2024,,,,,74.14%,101.16 CHF,75.00,2.182,69,83.20,101.06,1%,2058%,3.44%,90.14%,3.16%,-6.25%,145.00%,153,74.21%,-3.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/26/2018,102.36 CHF,,,12/30/2024,,12/30/2024,,,,,73.27%,102.36 CHF,75.00,2.182,69,83.20,101.06,1%,2032%,3.44%,90.14%,3.13%,-7.35%,142.13%,153,74.21%,-2.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/29/2018,101.16 CHF,,,1/6/2025,,1/6/2025,,,,,74.14%,101.16 CHF,75.00,2.182,69,83.20,101.06,1%,2058%,3.44%,90.14%,3.16%,-6.25%,145.00%,153,74.21%,-3.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/30/2018,100.92 CHF,,,1/13/2025,,1/13/2025,,,,,74.32%,100.92 CHF,75.00,2.182,69,83.20,101.06,1%,2063%,3.44%,90.14%,3.17%,-6.02%,145.58%,153,74.21%,-4.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/31/2018,100.12 CHF,,,1/20/2025,,1/21/2025,,,,,74.91%,100.12 CHF,75.00,2.182,69,83.20,101.06,1%,2080%,3.44%,90.14%,3.20%,-5.27%,147.54%,153,74.21%,-4.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/1/2018,99.92 CHF,,,1/27/2025,,1/27/2025,,,,,75.06%,99.92 CHF,75.00,2.182,69,83.20,101.06,1%,2084%,3.44%,90.14%,3.20%,-5.08%,148.04%,153,74.21%,-4.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/2/2018,98.76 CHF,,,2/3/2025,,2/3/2025,,,,,75.94%,98.76 CHF,75.00,2.182,69,83.20,101.06,1%,2110%,3.44%,90.14%,3.24%,-3.97%,150.95%,153,74.21%,-6.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/5/2018,97.72 CHF,,,2/10/2025,,2/10/2025,,,,,76.75%,97.72 CHF,75.00,2.182,69,83.20,101.06,1%,2134%,3.44%,90.14%,3.27%,-2.95%,153.62%,153,74.21%,-7.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/6/2018,94.68 CHF,,,2/17/2025,,2/18/2025,,,,,79.21%,94.68 CHF,75.00,2.182,69,83.20,101.06,1%,2205%,3.44%,90.14%,3.38%,0.17%,161.77%,153,74.21%,-9.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/7/2018,96.20 CHF,,,2/24/2025,,2/24/2025,,,,,77.96%,96.20 CHF,75.00,2.182,69,83.20,101.06,1%,2169%,3.44%,90.14%,3.33%,-1.41%,157.63%,153,74.21%,-8.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/8/2018,93.40 CHF,,,3/3/2025,,3/3/2025,,,,,80.30%,93.40 CHF,75.00,2.182,69,83.20,101.06,0%,2237%,3.44%,90.14%,3.43%,1.54%,165.35%,153,74.21%,-11.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/9/2018,92.68 CHF,,,3/10/2025,,3/10/2025,,,,,80.92%,92.68 CHF,75.00,2.182,69,83.20,101.06,0%,2255%,3.44%,90.14%,3.45%,2.33%,167.41%,153,74.21%,-11.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/12/2018,94.08 CHF,,,3/17/2025,,3/17/2025,,,,,79.72%,94.08 CHF,75.00,2.182,69,83.20,101.06,1%,2220%,3.44%,90.14%,3.40%,0.81%,163.44%,153,74.21%,-10.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/13/2018,93.16 CHF,,,3/24/2025,,3/24/2025,,,,,80.51%,93.16 CHF,75.00,2.182,69,83.20,101.06,0%,2243%,3.44%,90.14%,3.43%,1.80%,166.04%,153,74.21%,-11.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/14/2018,94.00 CHF,,,3/31/2025,,3/31/2025,,,,,79.79%,94.00 CHF,75.00,2.182,69,83.20,101.06,1%,2222%,3.44%,90.14%,3.40%,0.89%,163.66%,153,74.21%,-10.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/15/2018,94.60 CHF,,,4/7/2025,,4/7/2025,,,,,79.28%,94.60 CHF,75.00,2.182,69,83.20,101.06,1%,2207%,3.44%,90.14%,3.38%,0.25%,161.99%,153,74.21%,-10.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/16/2018,95.24 CHF,,,4/14/2025,,4/14/2025,,,,,78.75%,95.24 CHF,75.00,2.182,69,83.20,101.06,1%,2192%,3.44%,90.14%,3.36%,-0.42%,160.23%,153,74.21%,-9.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/19/2018,94.32 CHF,,,4/22/2025,,4/21/2025,,,,,79.52%,94.32 CHF,75.00,2.182,69,83.20,101.06,1%,2214%,3.44%,90.14%,3.39%,0.55%,162.77%,153,74.21%,-10.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/20/2018,96.32 CHF,,,4/28/2025,,4/28/2025,,,,,77.87%,96.32 CHF,75.00,2.182,69,83.20,101.06,1%,2166%,3.44%,90.14%,3.32%,-1.54%,157.31%,153,74.21%,-8.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/21/2018,96.92 CHF,,,5/5/2025,,5/5/2025,,,,,77.38%,96.92 CHF,75.00,2.182,69,83.20,101.06,1%,2152%,3.44%,90.14%,3.30%,-2.15%,155.72%,153,74.21%,-7.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/22/2018,96.48 CHF,,,5/12/2025,,5/12/2025,,,,,77.74%,96.48 CHF,75.00,2.182,69,83.20,101.06,1%,2162%,3.44%,90.14%,3.32%,-1.70%,156.88%,153,74.21%,-8.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/23/2018,96.36 CHF,,,5/19/2025,,5/19/2025,,,,,77.83%,96.36 CHF,75.00,2.182,69,83.20,101.06,1%,2165%,3.44%,90.14%,3.32%,-1.58%,157.20%,153,74.21%,-8.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/26/2018,96.88 CHF,,,5/26/2025,,5/27/2025,,,,,77.42%,96.88 CHF,75.00,2.182,69,83.20,101.06,1%,2153%,3.44%,90.14%,3.30%,-2.11%,155.82%,153,74.21%,-7.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/27/2018,97.72 CHF,,,6/2/2025,,6/2/2025,,,,,76.75%,97.72 CHF,75.00,2.182,69,83.20,101.06,1%,2134%,3.44%,90.14%,3.27%,-2.95%,153.62%,153,74.21%,-7.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/28/2018,96.28 CHF,,,6/10/2025,,6/9/2025,,,,,77.90%,96.28 CHF,75.00,2.182,69,83.20,101.06,1%,2167%,3.44%,90.14%,3.32%,-1.50%,157.42%,153,74.21%,-8.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/1/2018,94.24 CHF,,,6/16/2025,,6/16/2025,,,,,79.58%,94.24 CHF,75.00,2.182,69,83.20,101.06,1%,2216%,3.44%,90.14%,3.40%,0.64%,162.99%,153,74.21%,-10.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/2/2018,92.80 CHF,,,6/23/2025,,6/23/2025,,,,,80.82%,92.80 CHF,75.00,2.182,69,83.20,101.06,0%,2252%,3.44%,90.14%,3.45%,2.20%,167.07%,153,74.21%,-11.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/5/2018,94.20 CHF,,,6/30/2025,,6/30/2025,,,,,79.62%,94.20 CHF,75.00,2.182,69,83.20,101.06,1%,2217%,3.44%,90.14%,3.40%,0.68%,163.10%,153,74.21%,-10.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/6/2018,94.92 CHF,,,7/7/2025,,7/7/2025,,,,,79.01%,94.92 CHF,75.00,2.182,69,83.20,101.06,1%,2200%,3.44%,90.14%,3.37%,-0.08%,161.10%,153,74.21%,-9.74%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/7/2018,96.00 CHF,,,7/14/2025,,7/14/2025,,,,,78.13%,96.00 CHF,75.00,2.182,69,83.20,101.06,1%,2174%,3.44%,90.14%,3.33%,-1.21%,158.17%,153,74.21%,-8.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/8/2018,97.28 CHF,,,7/21/2025,,7/21/2025,,,,,77.10%,97.28 CHF,75.00,2.182,69,83.20,101.06,1%,2144%,3.44%,90.14%,3.29%,-2.51%,154.77%,153,74.21%,-7.49%,,,,,,,,,,,,
