,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Bridgestone - Rating: 100% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,12/20/2016,$                                                          9.35,,,9/3/2019,,9/3/2019,,,,,1497.33%,$                9.35,140.00,4.631,95,8.26,3.585,78,0%,49440%,3.02%,1694.02%,3.66%,21.18%,6545.24%,610,3.90%,-4.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/21/2016,$                                                          9.32,,,9/9/2019,,9/9/2019,,,,,1502.15%,$                9.32,140.00,4.631,95,8.26,3.585,78,0%,49599%,3.02%,1694.02%,3.68%,21.57%,6566.63%,610,3.90%,-4.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/22/2016,$                                                          9.38,,,9/16/2019,,9/16/2019,,,,,1493.33%,$                9.38,140.00,4.631,95,8.26,3.585,78,0%,49307%,3.02%,1694.02%,3.65%,20.85%,6527.52%,610,3.90%,-4.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/23/2016,$                                                          9.38,,,9/23/2019,,9/23/2019,,,,,1492.94%,$                9.38,140.00,4.631,95,8.26,3.585,78,0%,49294%,3.02%,1694.02%,3.65%,20.82%,6525.75%,610,3.90%,-4.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/27/2016,$                                                           9.31,,,9/30/2019,,9/30/2019,,,,,1504.57%,$                 9.31,140.00,4.631,95,8.26,3.585,78,0%,49679%,3.02%,1694.02%,3.68%,21.76%,6577.38%,610,3.90%,-5.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/28/2016,$                                                           9.10,,,10/7/2019,,10/7/2019,,,,,1538.46%,$                 9.10,140.00,4.631,95,8.26,3.585,78,0%,50801%,3.02%,1694.02%,3.76%,24.51%,6727.80%,610,3.90%,-7.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/29/2016,$                                                          8.97,,,10/14/2019,,10/14/2019,,,,,1561.63%,$                8.97,140.00,4.631,95,8.26,3.585,78,0%,51567%,3.02%,1694.02%,3.82%,26.38%,6830.62%,610,3.90%,-8.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/30/2016,$                                                          9.03,,,10/21/2019,,10/21/2019,,,,,1551.25%,$                9.03,140.00,4.631,95,8.26,3.585,78,0%,51224%,3.02%,1694.02%,3.80%,25.54%,6784.54%,610,3.90%,-8.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/3/2017,$                                                          9.02,,,10/28/2019,,10/28/2019,,,,,1662.51%,$                9.02,150.00,4.962,81,8.85,3.841,91,0%,54905%,3.02%,1694.02%,3.80%,25.57%,5234.77%,470,3.90%,-8.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/4/2017,$                                                           9.15,,,11/4/2019,,11/4/2019,,,,,1639.79%,$                 9.15,150.00,4.962,81,8.85,3.841,91,0%,54153%,3.02%,1694.02%,3.75%,23.86%,5161.87%,470,3.90%,-6.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/5/2017,$                                                          9.20,,,11/11/2019,,11/11/2019,,,,,1629.99%,$                9.20,150.00,4.962,81,8.85,3.841,91,0%,53829%,3.02%,1694.02%,3.72%,23.12%,5130.43%,470,3.90%,-6.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/6/2017,$                                                          9.20,,,11/18/2019,,11/18/2019,,,,,1630.43%,$                9.20,150.00,4.962,81,8.85,3.841,91,0%,53844%,3.02%,1694.02%,3.72%,23.15%,5131.85%,470,3.90%,-6.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/9/2017,$                                                           9.16,,,11/25/2019,,11/25/2019,,,,,1637.11%,$                 9.16,150.00,4.962,81,8.85,3.841,91,0%,54064%,3.02%,1694.02%,3.74%,23.66%,5153.26%,470,3.90%,-6.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/10/2017,$                                                           9.14,,,12/2/2019,,12/2/2019,,,,,1642.04%,$                 9.14,150.00,4.962,81,8.85,3.841,91,0%,54227%,3.02%,1694.02%,3.75%,24.03%,5169.07%,470,3.90%,-6.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/11/2017,$                                                          9.08,,,12/9/2019,,12/9/2019,,,,,1652.89%,$                9.08,150.00,4.962,81,8.85,3.841,91,0%,54587%,3.02%,1694.02%,3.78%,24.85%,5203.91%,470,3.90%,-7.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/12/2017,$                                                           9.01,,,12/16/2019,,12/16/2019,,,,,1665.28%,$                 9.01,150.00,4.962,81,8.85,3.841,91,0%,54996%,3.02%,1694.02%,3.80%,25.78%,5243.66%,470,3.90%,-8.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/13/2017,$                                                          9.05,,,12/23/2019,,12/23/2019,,,,,1657.46%,$                9.05,150.00,4.962,81,8.85,3.841,91,0%,54738%,3.02%,1694.02%,3.79%,25.19%,5218.56%,470,3.90%,-7.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/17/2017,$                                                          8.97,,,12/30/2019,,12/30/2019,,,,,1672.71%,$                8.97,150.00,4.962,81,8.85,3.841,91,0%,55242%,3.02%,1694.02%,3.82%,26.35%,5267.49%,470,3.90%,-8.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/18/2017,$                                                          8.90,,,1/6/2020,,1/6/2020,,,,,1684.92%,$                8.90,150.00,4.962,81,8.85,3.841,91,0%,55646%,3.02%,1694.02%,3.85%,27.27%,5306.68%,470,3.90%,-9.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/19/2017,$                                                          8.87,,,1/13/2020,,1/13/2020,,,,,1691.09%,$                8.87,150.00,4.962,81,8.85,3.841,91,0%,55850%,3.02%,1694.02%,3.86%,27.73%,5326.49%,470,3.90%,-9.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/20/2017,$                                                          8.95,,,1/21/2020,,1/21/2020,,,,,1675.98%,$                8.95,150.00,4.962,81,8.85,3.841,91,0%,55350%,3.02%,1694.02%,3.83%,26.59%,5277.99%,470,3.90%,-8.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/23/2017,$                                                          8.95,,,1/27/2020,,1/27/2020,,,,,1675.98%,$                8.95,150.00,4.962,81,8.85,3.841,91,0%,55350%,3.02%,1694.02%,3.83%,26.59%,5277.99%,470,3.90%,-8.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/24/2017,$                                                          9.03,,,2/3/2020,,2/3/2020,,,,,1660.67%,$                9.03,150.00,4.962,81,8.85,3.841,91,0%,54844%,3.02%,1694.02%,3.79%,25.44%,5228.87%,470,3.90%,-7.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/25/2017,$                                                           9.01,,,2/10/2020,,2/10/2020,,,,,1665.74%,$                 9.01,150.00,4.962,81,8.85,3.841,91,0%,55012%,3.02%,1694.02%,3.80%,25.82%,5245.14%,470,3.90%,-8.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/26/2017,$                                                          8.99,,,2/18/2020,,2/18/2020,,,,,1669.45%,$                8.99,150.00,4.962,81,8.85,3.841,91,0%,55134%,3.02%,1694.02%,3.81%,26.10%,5257.04%,470,3.90%,-8.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/27/2017,$                                                            9.11,,,2/24/2020,,2/24/2020,,,,,1646.09%,$                  9.11,150.00,4.962,81,8.85,3.841,91,0%,54362%,3.02%,1694.02%,3.76%,24.33%,5182.09%,470,3.90%,-7.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/30/2017,$                                                           9.16,,,3/2/2020,,3/2/2020,,,,,1638.45%,$                 9.16,150.00,4.962,81,8.85,3.841,91,0%,54109%,3.02%,1694.02%,3.74%,23.76%,5157.56%,470,3.90%,-6.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/31/2017,$                                                          9.07,,,3/9/2020,,3/9/2020,,,,,1653.80%,$                9.07,150.00,4.962,81,8.85,3.841,91,0%,54617%,3.02%,1694.02%,3.78%,24.92%,5206.84%,470,3.90%,-7.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/1/2017,$                                                           9.16,,,3/16/2020,,3/16/2020,,,,,1638.00%,$                 9.16,150.00,4.962,81,8.85,3.841,91,0%,54094%,3.02%,1694.02%,3.74%,23.72%,5156.13%,470,3.90%,-6.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/2/2017,$                                                           9.14,,,3/23/2020,,3/23/2020,,,,,1640.60%,$                 9.14,150.00,4.962,81,8.85,3.841,91,0%,54180%,3.02%,1694.02%,3.75%,23.92%,5164.46%,470,3.90%,-6.80%,,,,,,,,,,,,
