,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Occidental Petroleum - Rating: 9% - Upside: 780%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       65.63,,,6/29/2015,,6/29/2015,,,,,4.60%,$             65.63,3.02,2.027,10,43.19,174.57,1%,2989%,0.15%,6.99%,1.10%,-16.31%,2.47%,12.32,1.73%,-4.61%,,2023,0.72,38.46%,1/1/1993,1993,,26,4.02%,101,1720,3.80%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        66.17,,,7/6/2015,,7/6/2015,,,,,4.56%,$              66.17,3.02,2.027,10,43.19,174.57,1%,2963%,0.15%,6.99%,1.09%,-16.99%,1.63%,12.32,1.73%,-3.82%,,2024,0.72,0.00%,1/1/1994,1994,,27,4.17%,80,1800,3.01%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       67.03,,,7/13/2015,,7/13/2015,,,,,4.51%,$             67.03,3.02,2.027,10,43.19,174.57,1%,2924%,0.15%,6.99%,1.07%,-18.05%,0.33%,12.32,1.73%,-2.57%,,2025,0.72,0.00%,1/1/1995,1995,,28,4.32%,100,1900,3.77%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       67.98,,,7/20/2015,,7/20/2015,,,,,4.44%,$             67.98,3.02,2.027,10,43.19,174.57,1%,2882%,0.15%,6.99%,1.06%,-19.20%,-1.07%,12.32,1.73%,-1.19%,,2026,0.72,0.00%,1/1/1996,1996,,29,4.47%,82,1982,3.09%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       70.60,,,7/27/2015,,7/27/2015,,,,,4.28%,$             70.60,3.02,2.027,10,43.19,174.57,1%,2771%,0.15%,6.99%,1.02%,-22.19%,-4.74%,12.32,1.73%,0.00%,,,,,1/1/1997,1997,,30,4.62%,112,2094,4.22%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       70.26,,,8/3/2015,,8/3/2015,,,,,4.30%,$             70.26,3.02,2.027,10,43.19,174.57,1%,2785%,0.15%,6.99%,1.02%,-21.82%,-4.28%,12.32,1.73%,-0.48%,,,,,1/1/1998,1998,,31,4.77%,91,2185,3.43%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       70.23,,,8/10/2015,,8/10/2015,,,,,4.30%,$             70.23,3.02,2.027,10,43.19,174.57,1%,2786%,0.15%,6.99%,1.03%,-21.79%,-4.24%,12.32,1.73%,-0.52%,,,,,1/1/1999,1999,,32,4.92%,82,2267,3.09%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                        71.65,,,8/17/2015,,8/17/2015,,,,,4.21%,$              71.65,3.02,2.027,10,43.19,174.57,1%,2729%,0.15%,6.99%,1.00%,-23.33%,-6.14%,12.32,1.73%,0.00%,,,,,1/1/2000,2000,,33,5.07%,63,2330,2.37%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       68.97,,,8/24/2015,,8/24/2015,,,,,4.38%,$             68.97,3.02,2.027,10,43.19,174.57,1%,2839%,0.15%,6.99%,1.04%,-20.36%,-2.49%,12.32,1.73%,-3.74%,,,,,1/1/2001,2001,,34,5.22%,16,2346,0.60%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                       69.44,,,8/31/2015,,8/31/2015,,,,,4.35%,$             69.44,3.02,2.027,10,43.19,174.57,1%,2819%,0.15%,6.99%,1.04%,-20.90%,-3.15%,12.32,1.73%,-3.08%,,,,,1/1/2002,2002,,35,5.37%,15,2361,0.56%
