,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SXS LN,Spectris PLC,,,,,,,,,,103%,-1%,$ 4.142,00,$  2.527,70,$  3.275,57,$       4.166,00,$  4.088,30,4.01%,1.87%,2.39%,5.31%,187.24%,202.75%,126%,,,,,,,NO,,,3.83%,1.74%,2.08%,0.03%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Spectris PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.03%,11/10/2017,,,,,,,,,,$  3.275,57,-21%,1.85%,$  4.088,30,$   2.146,65,$       1.442,00,$   1.656,53,1.70%,3.03%,2.34%,1.84%,-0.58%,-0.58%,-40%,,,,5Y CAGR,1.96%,,Spectris PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.32%,,Spectris PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Spectris PLC - Rating: 103% - Upside: -1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,6/2/2017,2.672,00,,,11/1/2021,,11/1/2021,,,,,1.98%,2.672,00,53.00,2.828,72,1.748,93,2.266,39,85%,6%,1.87%,3.03%,2.87%,55.01%,61.50%,173.4,2.34%,-5.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/5/2017,2.641,00,,,11/8/2021,,11/8/2021,,,,,2.01%,2.641,00,53.00,2.828,72,1.748,93,2.266,39,83%,7%,1.87%,3.03%,2.90%,56.83%,63.40%,173.4,2.34%,-6.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/6/2017,2.627,00,,,11/15/2021,,11/15/2021,,,,,2.02%,2.627,00,53.00,2.828,72,1.748,93,2.266,39,81%,8%,1.87%,3.03%,2.92%,57.67%,64.27%,173.4,2.34%,-7.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/7/2017,2.647,00,,,11/22/2021,,11/22/2021,,,,,2.00%,2.647,00,53.00,2.828,72,1.748,93,2.266,39,83%,7%,1.87%,3.03%,2.89%,56.48%,63.03%,173.4,2.34%,-6.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/8/2017,2.657,00,,,11/29/2021,,11/29/2021,,,,,1.99%,2.657,00,53.00,2.828,72,1.748,93,2.266,39,84%,6%,1.87%,3.03%,2.88%,55.89%,62.42%,173.4,2.34%,-6.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/9/2017,2.676,00,,,12/6/2021,,12/6/2021,,,,,1.98%,2.676,00,53.00,2.828,72,1.748,93,2.266,39,86%,6%,1.87%,3.03%,2.86%,54.78%,61.26%,173.4,2.34%,-5.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/12/2017,2.634,00,,,12/13/2021,,12/13/2021,,,,,2.01%,2.634,00,53.00,2.828,72,1.748,93,2.266,39,82%,7%,1.87%,3.03%,2.91%,57.25%,63.83%,173.4,2.34%,-7.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/13/2017,2.672,00,,,12/20/2021,,12/20/2021,,,,,1.98%,2.672,00,53.00,2.828,72,1.748,93,2.266,39,85%,6%,1.87%,3.03%,2.87%,55.01%,61.50%,173.4,2.34%,-5.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/14/2017,2.679,00,,,12/27/2021,,12/27/2021,,,,,1.98%,2.679,00,53.00,2.828,72,1.748,93,2.266,39,86%,6%,1.87%,3.03%,2.86%,54.61%,61.08%,173.4,2.34%,-5.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/15/2017,2.604,00,,,1/3/2022,,1/3/2022,,,,,2.04%,2.604,00,53.00,2.828,72,1.748,93,2.266,39,79%,9%,1.87%,3.03%,2.94%,59.06%,65.72%,173.4,2.34%,-8.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/16/2017,2.679,00,,,1/10/2022,,1/10/2022,,,,,1.98%,2.679,00,53.00,2.828,72,1.748,93,2.266,39,86%,6%,1.87%,3.03%,2.86%,54.61%,61.08%,173.4,2.34%,-5.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/19/2017,2.718,00,,,1/17/2022,,1/18/2022,,,,,1.95%,2.718,00,53.00,2.828,72,1.748,93,2.266,39,90%,4%,1.87%,3.03%,2.82%,52.39%,58.77%,173.4,2.34%,-4.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,6/20/2017,2.659,00,,,1/24/2022,,1/24/2022,,,,,1.99%,2.659,00,53.00,2.828,72,1.748,93,2.266,39,84%,6%,1.87%,3.03%,2.88%,55.77%,62.29%,173.4,2.34%,-6.18%,,,,,,,,,,,,
