,,,,,,,,,,,,,,,,,90%,NO,4.49%,11/10/2017,,,,,,,,,,$  3.360,05,65%,3.88%,$  4.703,58,$   1.899,49,$       1.509,00,$       993.77,1.26%,4.49%,2.35%,1.84%,-52.41%,-52.41%,-8%,,,,5Y CAGR,0.92%,,Derwent London PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.87%,,Derwent London PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Derwent London PLC - Rating: 10% - Upside: 131%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2025,12/8/2025,1.616,00,,,,,,,,,,4.89%,1.616,00,79.00,4.703,58,1.757,90,3.360,05,-5%,191%,1.68%,4.49%,4.89%,26.11%,26.11%,0,2.35%,-62.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/9/2025,1.610,00,,,,,,,,,,4.91%,1.610,00,79.00,4.703,58,1.757,90,3.360,05,-5%,192%,1.68%,4.49%,4.91%,26.58%,26.58%,0,2.35%,-62.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/10/2025,1.608,00,,,,,,,,,,4.91%,1.608,00,79.00,4.703,58,1.757,90,3.360,05,-5%,193%,1.68%,4.49%,4.91%,26.74%,26.74%,0,2.35%,-62.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/11/2025,1.625,00,,,,,,,,,,4.86%,1.625,00,79.00,4.703,58,1.757,90,3.360,05,-5%,189%,1.68%,4.49%,4.86%,25.42%,25.42%,0,2.35%,-62.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/12/2025,1.641,00,,,,,,,,,,4.81%,1.641,00,79.00,4.703,58,1.757,90,3.360,05,-4%,187%,1.68%,4.49%,4.81%,24.19%,24.19%,0,2.35%,-61.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/15/2025,1.642,00,,,,,,,,,,4.81%,1.642,00,79.00,4.703,58,1.757,90,3.360,05,-4%,186%,1.68%,4.49%,4.81%,24.12%,24.12%,0,2.35%,-61.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/16/2025,1.650,00,,,,,,,,,,4.79%,1.650,00,79.00,4.703,58,1.757,90,3.360,05,-4%,185%,1.68%,4.49%,4.79%,23.52%,23.52%,0,2.35%,-61.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/17/2025,1.677,00,,,,,,,,,,4.71%,1.677,00,79.00,4.703,58,1.757,90,3.360,05,-3%,180%,1.68%,4.49%,4.71%,21.53%,21.53%,0,2.35%,-60.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/18/2025,1.689,00,,,,,,,,,,4.68%,1.689,00,79.00,4.703,58,1.757,90,3.360,05,-2%,178%,1.68%,4.49%,4.68%,20.66%,20.66%,0,2.35%,-60.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/19/2025,1.685,00,,,,,,,,,,4.69%,1.685,00,79.00,4.703,58,1.757,90,3.360,05,-2%,179%,1.68%,4.49%,4.69%,20.95%,20.95%,0,2.35%,-60.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/22/2025,1.689,00,,,,,,,,,,4.68%,1.689,00,79.00,4.703,58,1.757,90,3.360,05,-2%,178%,1.68%,4.49%,4.68%,20.66%,20.66%,0,2.35%,-60.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/23/2025,1.689,00,,,,,,,,,,4.68%,1.689,00,79.00,4.703,58,1.757,90,3.360,05,-2%,178%,1.68%,4.49%,4.68%,20.66%,20.66%,0,2.35%,-60.56%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/24/2025,1.696,00,,,,,,,,,,4.66%,1.696,00,79.00,4.703,58,1.757,90,3.360,05,-2%,177%,1.68%,4.49%,4.66%,20.17%,20.17%,0,2.35%,-60.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/29/2025,1.715,00,,,,,,,,,,4.61%,1.715,00,79.00,4.703,58,1.757,90,3.360,05,-1%,174%,1.68%,4.49%,4.61%,18.83%,18.83%,0,2.35%,-59.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/30/2025,1.730,00,,,,,,,,,,4.57%,1.730,00,79.00,4.703,58,1.757,90,3.360,05,-1%,172%,1.68%,4.49%,4.57%,17.80%,17.80%,0,2.35%,-59.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025,12/31/2025,1.739,00,,,,,,,,,,4.54%,1.739,00,79.00,4.703,58,1.757,90,3.360,05,-1%,170%,1.68%,4.49%,4.54%,17.19%,17.19%,0,2.35%,-59.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/2/2026,1.735,00,,,,,,,,,,4.55%,1.735,00,79.00,4.703,58,1.757,90,3.360,05,-1%,171%,1.68%,4.49%,4.55%,17.46%,17.46%,0,2.35%,-59.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/5/2026,1.747,00,,,,,,,,,,4.52%,1.747,00,79.00,4.703,58,1.757,90,3.360,05,0%,169%,1.68%,4.49%,4.52%,16.66%,16.66%,0,2.35%,-59.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/6/2026,1.774,00,,,,,,,,,,4.45%,1.774,00,79.00,4.703,58,1.757,90,3.360,05,1%,165%,1.68%,4.49%,4.45%,14.88%,14.88%,0,2.35%,-58.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/7/2026,1.835,00,,,,,,,,,,4.31%,1.835,00,79.00,4.703,58,1.757,90,3.360,05,3%,156%,1.68%,4.49%,4.31%,11.06%,11.06%,0,2.35%,-57.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/8/2026,1.886,00,,,,,,,,,,4.19%,1.886,00,79.00,4.703,58,1.757,90,3.360,05,4%,149%,1.68%,4.49%,4.19%,8.06%,8.06%,0,2.35%,-55.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/9/2026,1.850,00,,,,,,,,,,4.27%,1.850,00,79.00,4.703,58,1.757,90,3.360,05,3%,154%,1.68%,4.49%,4.27%,10.16%,10.16%,0,2.35%,-56.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/12/2026,1.826,00,,,,,,,,,,4.33%,1.826,00,79.00,4.703,58,1.757,90,3.360,05,2%,158%,1.68%,4.49%,4.33%,11.61%,11.61%,0,2.35%,-57.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/13/2026,1.807,00,,,,,,,,,,4.37%,1.807,00,79.00,4.703,58,1.757,90,3.360,05,2%,160%,1.68%,4.49%,4.37%,12.78%,12.78%,0,2.35%,-57.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/14/2026,1.845,00,,,,,,,,,,4.28%,1.845,00,79.00,4.703,58,1.757,90,3.360,05,3%,155%,1.68%,4.49%,4.28%,10.46%,10.46%,0,2.35%,-56.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/15/2026,1.885,00,,,,,,,,,,4.19%,1.885,00,79.00,4.703,58,1.757,90,3.360,05,4%,150%,1.68%,4.49%,4.19%,8.12%,8.12%,0,2.35%,-55.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/16/2026,1.898,00,,,,,,,,,,4.16%,1.898,00,79.00,4.703,58,1.757,90,3.360,05,5%,148%,1.68%,4.49%,4.16%,7.38%,7.38%,0,2.35%,-55.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/19/2026,1.897,00,,,,,,,,,,4.16%,1.897,00,79.00,4.703,58,1.757,90,3.360,05,5%,148%,1.68%,4.49%,4.16%,7.43%,7.43%,0,2.35%,-55.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/20/2026,1.871,00,,,,,,,,,,4.22%,1.871,00,79.00,4.703,58,1.757,90,3.360,05,4%,151%,1.68%,4.49%,4.22%,8.93%,8.93%,0,2.35%,-56.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/21/2026,1.887,00,,,,,,,,,,4.19%,1.887,00,79.00,4.703,58,1.757,90,3.360,05,4%,149%,1.68%,4.49%,4.19%,8.00%,8.00%,0,2.35%,-55.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/22/2026,1.905,00,,,,,,,,,,4.15%,1.905,00,79.00,4.703,58,1.757,90,3.360,05,5%,147%,1.68%,4.49%,4.15%,6.98%,6.98%,0,2.35%,-55.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/23/2026,1.911,00,,,,,,,,,,4.13%,1.911,00,79.00,4.703,58,1.757,90,3.360,05,5%,146%,1.68%,4.49%,4.13%,6.65%,6.65%,0,2.35%,-55.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/26/2026,1.931,00,,,,,,,,,,4.09%,1.931,00,79.00,4.703,58,1.757,90,3.360,05,6%,144%,1.68%,4.49%,4.09%,5.54%,5.54%,0,2.35%,-54.90%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/27/2026,1.937,00,,,,,,,,,,4.08%,1.937,00,79.00,4.703,58,1.757,90,3.360,05,6%,143%,1.68%,4.49%,4.08%,5.21%,5.21%,0,2.35%,-54.76%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/28/2026,1.946,00,,,,,,,,,,4.06%,1.946,00,79.00,4.703,58,1.757,90,3.360,05,6%,142%,1.68%,4.49%,4.06%,4.73%,4.73%,0,2.35%,-54.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/29/2026,1.951,00,,,,,,,,,,4.05%,1.951,00,79.00,4.703,58,1.757,90,3.360,05,7%,141%,1.68%,4.49%,4.05%,4.46%,4.46%,0,2.35%,-54.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,1/30/2026,1.922,00,,,,,,,,,,4.11%,1.922,00,79.00,4.703,58,1.757,90,3.360,05,6%,145%,1.68%,4.49%,4.11%,6.04%,6.04%,0,2.35%,-55.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,2/2/2026,1.905,00,,,,,,,,,,4.15%,1.905,00,79.00,4.703,58,1.757,90,3.360,05,5%,147%,1.68%,4.49%,4.15%,6.98%,6.98%,0,2.35%,-55.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,2/3/2026,1.904,00,,,,,,,,,,4.15%,1.904,00,79.00,4.703,58,1.757,90,3.360,05,5%,147%,1.68%,4.49%,4.15%,7.04%,7.04%,0,2.35%,-55.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2026,2/4/2026,1.931,00,,,,,,,,,,4.09%,1.931,00,79.00,4.703,58,1.757,90,3.360,05,6%,144%,1.68%,4.49%,4.09%,5.54%,5.54%,0,2.35%,-54.90%,,,,,,,,,,,,
