,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/1/2021,1.900,00,,,,,,,,,,3.89%,1.900,00,74.00,3.227,99,1.004,91,1.786,57,40%,70%,2.29%,7.36%,6.26%,-11.47%,-11.47%,0,4.14%,-32.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/2/2021,1.912,00,,,,,,,,,,3.87%,1.912,00,74.00,3.227,99,1.004,91,1.786,57,41%,69%,2.29%,7.36%,6.22%,-12.03%,-12.03%,0,4.14%,-31.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/3/2021,1.920,00,,,,,,,,,,3.85%,1.920,00,74.00,3.227,99,1.004,91,1.786,57,41%,68%,2.29%,7.36%,6.20%,-12.40%,-12.40%,0,4.14%,-31.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/6/2021,1.940,00,,,,,,,,,,3.81%,1.940,00,74.00,3.227,99,1.004,91,1.786,57,42%,66%,2.29%,7.36%,6.13%,-13.30%,-13.30%,0,4.14%,-30.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/7/2021,1.944,00,,,,,,,,,,3.81%,1.944,00,74.00,3.227,99,1.004,91,1.786,57,42%,66%,2.29%,7.36%,6.12%,-13.48%,-13.48%,0,4.14%,-30.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/8/2021,1.938,00,,,,,,,,,,3.82%,1.938,00,74.00,3.227,99,1.004,91,1.786,57,42%,67%,2.29%,7.36%,6.14%,-13.21%,-13.21%,0,4.14%,-30.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/9/2021,1.916,00,,,,,,,,,,3.86%,1.916,00,74.00,3.227,99,1.004,91,1.786,57,41%,68%,2.29%,7.36%,6.21%,-12.21%,-12.21%,0,4.14%,-31.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/10/2021,1.904,00,,,,,,,,,,3.89%,1.904,00,74.00,3.227,99,1.004,91,1.786,57,40%,70%,2.29%,7.36%,6.25%,-11.66%,-11.66%,0,4.14%,-32.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/13/2021,1.886,00,,,,,,,,,,3.92%,1.886,00,74.00,3.227,99,1.004,91,1.786,57,40%,71%,2.29%,7.36%,6.31%,-10.82%,-10.82%,0,4.14%,-32.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/14/2021,1.894,00,,,,,,,,,,3.91%,1.894,00,74.00,3.227,99,1.004,91,1.786,57,40%,70%,2.29%,7.36%,6.28%,-11.19%,-11.19%,0,4.14%,-32.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/15/2021,1.892,00,,,,,,,,,,3.91%,1.892,00,74.00,3.227,99,1.004,91,1.786,57,40%,71%,2.29%,7.36%,6.29%,-11.10%,-11.10%,0,4.14%,-32.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/16/2021,1.918,00,,,,,,,,,,3.86%,1.918,00,74.00,3.227,99,1.004,91,1.786,57,41%,68%,2.29%,7.36%,6.20%,-12.30%,-12.30%,0,4.14%,-31.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/17/2021,1.922,00,,,,,,,,,,3.85%,1.922,00,74.00,3.227,99,1.004,91,1.786,57,41%,68%,2.29%,7.36%,6.19%,-12.49%,-12.49%,0,4.14%,-31.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/20/2021,1.866,00,,,,,,,,,,3.97%,1.866,00,74.00,3.227,99,1.004,91,1.786,57,39%,73%,2.29%,7.36%,6.38%,-9.86%,-9.86%,0,4.14%,-33.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/21/2021,1.896,00,,,,,,,,,,3.90%,1.896,00,74.00,3.227,99,1.004,91,1.786,57,40%,70%,2.29%,7.36%,6.28%,-11.29%,-11.29%,0,4.14%,-32.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/22/2021,1.928,00,,,,,,,,,,3.84%,1.928,00,74.00,3.227,99,1.004,91,1.786,57,42%,67%,2.29%,7.36%,6.17%,-12.76%,-12.76%,0,4.14%,-31.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/23/2021,1.962,00,,,,,,,,,,3.77%,1.962,00,74.00,3.227,99,1.004,91,1.786,57,43%,65%,2.29%,7.36%,6.07%,-14.27%,-14.27%,0,4.14%,-29.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/24/2021,1.968,00,,,,,,,,,,3.76%,1.968,00,74.00,3.227,99,1.004,91,1.786,57,43%,64%,2.29%,7.36%,6.05%,-14.53%,-14.53%,0,4.14%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/27/2021,,,,,,,,,,,3.76%,1.968,00,74.00,3.227,99,1.004,91,1.786,57,43%,64%,2.29%,7.36%,6.05%,-14.53%,-14.53%,0,4.14%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/28/2021,,,,,,,,,,,3.76%,1.968,00,74.00,3.227,99,1.004,91,1.786,57,43%,64%,2.29%,7.36%,6.05%,-14.53%,-14.53%,0,4.14%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/29/2021,2.005,00,,,,,,,,,,3.69%,2.005,00,74.00,3.227,99,1.004,91,1.786,57,45%,61%,2.29%,7.36%,5.94%,-16.11%,-16.11%,0,4.14%,-28.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/30/2021,1.982,00,,,,,,,,,,3.73%,1.982,00,74.00,3.227,99,1.004,91,1.786,57,44%,63%,2.29%,7.36%,6.00%,-15.14%,-15.14%,0,4.14%,-29.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,12/31/2021,1.984,00,,,,,,,,,,3.73%,1.984,00,74.00,3.227,99,1.004,91,1.786,57,44%,63%,2.29%,7.36%,6.00%,-15.22%,-15.22%,0,4.14%,-29.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/3/2022,,,,,,,,,,,4.13%,1.984,00,82.00,3.576,97,1.113,55,1.979,71,35%,80%,2.29%,7.36%,6.00%,-15.22%,-15.22%,0,4.14%,-29.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/4/2022,2.015,00,,,,,,,,,,4.07%,2.015,00,82.00,3.576,97,1.113,55,1.979,71,37%,78%,2.29%,7.36%,5.91%,-16.53%,-16.53%,0,4.14%,-28.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/5/2022,2.005,00,,,,,,,,,,4.09%,2.005,00,82.00,3.576,97,1.113,55,1.979,71,36%,78%,2.29%,7.36%,5.94%,-16.11%,-16.11%,0,4.14%,-28.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/6/2022,1.996,00,,,,,,,,,,4.11%,1.996,00,82.00,3.576,97,1.113,55,1.979,71,36%,79%,2.29%,7.36%,5.96%,-15.73%,-15.73%,0,4.14%,-28.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/7/2022,2.020,00,,,,,,,,,,4.06%,2.020,00,82.00,3.576,97,1.113,55,1.979,71,37%,77%,2.29%,7.36%,5.89%,-16.73%,-16.73%,0,4.14%,-27.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/10/2022,2.045,00,,,,,,,,,,4.01%,2.045,00,82.00,3.576,97,1.113,55,1.979,71,38%,75%,2.29%,7.36%,5.82%,-17.75%,-17.75%,0,4.14%,-26.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/11/2022,2.015,00,,,,,,,,,,4.07%,2.015,00,82.00,3.576,97,1.113,55,1.979,71,37%,78%,2.29%,7.36%,5.91%,-16.53%,-16.53%,0,4.14%,-28.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/12/2022,2.000,00,,,,,,,,,,4.10%,2.000,00,82.00,3.576,97,1.113,55,1.979,71,36%,79%,2.29%,7.36%,5.95%,-15.90%,-15.90%,0,4.14%,-28.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/13/2022,1.958,00,,,,,,,,,,4.19%,1.958,00,82.00,3.576,97,1.113,55,1.979,71,34%,83%,2.29%,7.36%,6.08%,-14.10%,-14.10%,0,4.14%,-30.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/14/2022,1.964,00,,,,,,,,,,4.18%,1.964,00,82.00,3.576,97,1.113,55,1.979,71,35%,82%,2.29%,7.36%,6.06%,-14.36%,-14.36%,0,4.14%,-29.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/17/2022,1.968,00,,,,,,,,,,4.17%,1.968,00,82.00,3.576,97,1.113,55,1.979,71,35%,82%,2.29%,7.36%,6.05%,-14.53%,-14.53%,0,4.14%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/18/2022,1.948,00,,,,,,,,,,4.21%,1.948,00,82.00,3.576,97,1.113,55,1.979,71,34%,84%,2.29%,7.36%,6.11%,-13.66%,-13.66%,0,4.14%,-30.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/19/2022,1.922,00,,,,,,,,,,4.27%,1.922,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.19%,-12.49%,-12.49%,0,4.14%,-31.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/20/2022,1.948,00,,,,,,,,,,4.21%,1.948,00,82.00,3.576,97,1.113,55,1.979,71,34%,84%,2.29%,7.36%,6.11%,-13.66%,-13.66%,0,4.14%,-30.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/21/2022,1.916,00,,,,,,,,,,4.28%,1.916,00,82.00,3.576,97,1.113,55,1.979,71,33%,87%,2.29%,7.36%,6.21%,-12.21%,-12.21%,0,4.14%,-31.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/24/2022,1.850,00,,,,,,,,,,4.43%,1.850,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.43%,-9.08%,-9.08%,0,4.14%,-33.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/25/2022,1.870,00,,,,,,,,,,4.39%,1.870,00,82.00,3.576,97,1.113,55,1.979,71,31%,91%,2.29%,7.36%,6.36%,-10.05%,-10.05%,0,4.14%,-33.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/26/2022,1.850,00,,,,,,,,,,4.43%,1.850,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.43%,-9.08%,-9.08%,0,4.14%,-33.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/27/2022,1.850,00,,,,,,,,,,4.43%,1.850,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.43%,-9.08%,-9.08%,0,4.14%,-33.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/28/2022,1.826,00,,,,,,,,,,4.49%,1.826,00,82.00,3.576,97,1.113,55,1.979,71,29%,96%,2.29%,7.36%,6.52%,-7.89%,-7.89%,0,4.14%,-34.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,1/31/2022,1.866,00,,,,,,,,,,4.39%,1.866,00,82.00,3.576,97,1.113,55,1.979,71,31%,92%,2.29%,7.36%,6.38%,-9.86%,-9.86%,0,4.14%,-33.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/1/2022,1.886,00,,,,,,,,,,4.35%,1.886,00,82.00,3.576,97,1.113,55,1.979,71,31%,90%,2.29%,7.36%,6.31%,-10.82%,-10.82%,0,4.14%,-32.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/2/2022,1.886,00,,,,,,,,,,4.35%,1.886,00,82.00,3.576,97,1.113,55,1.979,71,31%,90%,2.29%,7.36%,6.31%,-10.82%,-10.82%,0,4.14%,-32.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/3/2022,1.872,00,,,,,,,,,,4.38%,1.872,00,82.00,3.576,97,1.113,55,1.979,71,31%,91%,2.29%,7.36%,6.36%,-10.15%,-10.15%,0,4.14%,-33.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/4/2022,1.866,00,,,,,,,,,,4.39%,1.866,00,82.00,3.576,97,1.113,55,1.979,71,31%,92%,2.29%,7.36%,6.38%,-9.86%,-9.86%,0,4.14%,-33.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/7/2022,1.844,00,,,,,,,,,,4.45%,1.844,00,82.00,3.576,97,1.113,55,1.979,71,30%,94%,2.29%,7.36%,6.45%,-8.79%,-8.79%,0,4.14%,-34.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/8/2022,1.850,00,,,,,,,,,,4.43%,1.850,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.43%,-9.08%,-9.08%,0,4.14%,-33.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/9/2022,1.854,00,,,,,,,,,,4.42%,1.854,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.42%,-9.28%,-9.28%,0,4.14%,-33.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/10/2022,1.826,00,,,,,,,,,,4.49%,1.826,00,82.00,3.576,97,1.113,55,1.979,71,29%,96%,2.29%,7.36%,6.52%,-7.89%,-7.89%,0,4.14%,-34.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/11/2022,1.818,00,,,,,,,,,,4.51%,1.818,00,82.00,3.576,97,1.113,55,1.979,71,29%,97%,2.29%,7.36%,6.55%,-7.48%,-7.48%,0,4.14%,-35.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/14/2022,1.768,00,,,,,,,,,,4.64%,1.768,00,82.00,3.576,97,1.113,55,1.979,71,27%,102%,2.29%,7.36%,6.73%,-4.86%,-4.86%,0,4.14%,-36.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/15/2022,1.768,00,,,,,,,,,,4.64%,1.768,00,82.00,3.576,97,1.113,55,1.979,71,27%,102%,2.29%,7.36%,6.73%,-4.86%,-4.86%,0,4.14%,-36.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/16/2022,1.788,00,,,,,,,,,,4.59%,1.788,00,82.00,3.576,97,1.113,55,1.979,71,27%,100%,2.29%,7.36%,6.66%,-5.93%,-5.93%,0,4.14%,-36.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/17/2022,1.794,00,,,,,,,,,,4.57%,1.794,00,82.00,3.576,97,1.113,55,1.979,71,28%,99%,2.29%,7.36%,6.63%,-6.24%,-6.24%,0,4.14%,-35.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/18/2022,1.784,00,,,,,,,,,,4.60%,1.784,00,82.00,3.576,97,1.113,55,1.979,71,27%,101%,2.29%,7.36%,6.67%,-5.72%,-5.72%,0,4.14%,-36.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/21/2022,1.778,00,,,,,,,,,,4.61%,1.778,00,82.00,3.576,97,1.113,55,1.979,71,27%,101%,2.29%,7.36%,6.69%,-5.40%,-5.40%,0,4.14%,-36.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/22/2022,1.730,00,,,,,,,,,,4.74%,1.730,00,82.00,3.576,97,1.113,55,1.979,71,25%,107%,2.29%,7.36%,6.88%,-2.77%,-2.77%,0,4.14%,-38.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/23/2022,1.756,00,,,,,,,,,,4.67%,1.756,00,82.00,3.576,97,1.113,55,1.979,71,26%,104%,2.29%,7.36%,6.78%,-4.21%,-4.21%,0,4.14%,-37.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/24/2022,1.650,00,,,,,,,,,,4.97%,1.650,00,82.00,3.576,97,1.113,55,1.979,71,22%,117%,2.29%,7.36%,7.21%,1.94%,1.94%,0,4.14%,-41.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/25/2022,1.704,00,,,,,,,,,,4.81%,1.704,00,82.00,3.576,97,1.113,55,1.979,71,24%,110%,2.29%,7.36%,6.98%,-1.29%,-1.29%,0,4.14%,-39.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,2/28/2022,1.656,00,,,,,,,,,,4.95%,1.656,00,82.00,3.576,97,1.113,55,1.979,71,22%,116%,2.29%,7.36%,7.19%,1.57%,1.57%,0,4.14%,-40.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/1/2022,1.602,00,,,,,,,,,,5.12%,1.602,00,82.00,3.576,97,1.113,55,1.979,71,20%,123%,2.29%,7.36%,7.43%,4.99%,4.99%,0,4.14%,-42.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/2/2022,1.642,00,,,,,,,,,,4.99%,1.642,00,82.00,3.576,97,1.113,55,1.979,71,21%,118%,2.29%,7.36%,7.25%,2.44%,2.44%,0,4.14%,-41.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/3/2022,1.600,00,,,,,,,,,,5.13%,1.600,00,82.00,3.576,97,1.113,55,1.979,71,20%,124%,2.29%,7.36%,7.44%,5.13%,5.13%,0,4.14%,-42.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/4/2022,1.534,00,,,,,,,,,,5.35%,1.534,00,82.00,3.576,97,1.113,55,1.979,71,17%,133%,2.29%,7.36%,7.76%,9.65%,9.65%,0,4.14%,-45.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/7/2022,1.518,00,,,,,,,,,,5.40%,1.518,00,82.00,3.576,97,1.113,55,1.979,71,16%,136%,2.29%,7.36%,7.84%,10.80%,10.80%,0,4.14%,-45.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/8/2022,1.524,00,,,,,,,,,,5.38%,1.524,00,82.00,3.576,97,1.113,55,1.979,71,17%,135%,2.29%,7.36%,7.81%,10.37%,10.37%,0,4.14%,-45.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/9/2022,1.620,00,,,,,,,,,,5.06%,1.620,00,82.00,3.576,97,1.113,55,1.979,71,21%,121%,2.29%,7.36%,7.35%,3.83%,3.83%,0,4.14%,-42.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/10/2022,1.578,00,,,,,,,,,,5.20%,1.578,00,82.00,3.576,97,1.113,55,1.979,71,19%,127%,2.29%,7.36%,7.54%,6.59%,6.59%,0,4.14%,-43.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/11/2022,1.616,00,,,,,,,,,,5.07%,1.616,00,82.00,3.576,97,1.113,55,1.979,71,20%,121%,2.29%,7.36%,7.36%,4.08%,4.08%,0,4.14%,-42.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/14/2022,1.662,00,,,,,,,,,,4.93%,1.662,00,82.00,3.576,97,1.113,55,1.979,71,22%,115%,2.29%,7.36%,7.16%,1.20%,1.20%,0,4.14%,-40.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/15/2022,1.640,00,,,,,,,,,,5.00%,1.640,00,82.00,3.576,97,1.113,55,1.979,71,21%,118%,2.29%,7.36%,7.26%,2.56%,2.56%,0,4.14%,-41.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/16/2022,1.702,00,,,,,,,,,,4.82%,1.702,00,82.00,3.576,97,1.113,55,1.979,71,24%,110%,2.29%,7.36%,6.99%,-1.18%,-1.18%,0,4.14%,-39.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/17/2022,1.736,00,,,,,,,,,,4.72%,1.736,00,82.00,3.576,97,1.113,55,1.979,71,25%,106%,2.29%,7.36%,6.85%,-3.11%,-3.11%,0,4.14%,-38.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/18/2022,1.774,00,,,,,,,,,,4.62%,1.774,00,82.00,3.576,97,1.113,55,1.979,71,27%,102%,2.29%,7.36%,6.71%,-5.19%,-5.19%,0,4.14%,-36.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/21/2022,1.754,00,,,,,,,,,,4.68%,1.754,00,82.00,3.576,97,1.113,55,1.979,71,26%,104%,2.29%,7.36%,6.78%,-4.10%,-4.10%,0,4.14%,-37.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/22/2022,1.770,00,,,,,,,,,,4.63%,1.770,00,82.00,3.576,97,1.113,55,1.979,71,27%,102%,2.29%,7.36%,6.72%,-4.97%,-4.97%,0,4.14%,-36.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/23/2022,1.750,00,,,,,,,,,,4.69%,1.750,00,82.00,3.576,97,1.113,55,1.979,71,26%,104%,2.29%,7.36%,6.80%,-3.89%,-3.89%,0,4.14%,-37.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/24/2022,1.742,00,,,,,,,,,,4.71%,1.742,00,82.00,3.576,97,1.113,55,1.979,71,26%,105%,2.29%,7.36%,6.83%,-3.44%,-3.44%,0,4.14%,-37.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/25/2022,1.758,00,,,,,,,,,,4.66%,1.758,00,82.00,3.576,97,1.113,55,1.979,71,26%,103%,2.29%,7.36%,6.77%,-4.32%,-4.32%,0,4.14%,-37.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/28/2022,1.768,00,,,,,,,,,,4.64%,1.768,00,82.00,3.576,97,1.113,55,1.979,71,27%,102%,2.29%,7.36%,6.73%,-4.86%,-4.86%,0,4.14%,-36.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/29/2022,1.816,00,,,,,,,,,,4.52%,1.816,00,82.00,3.576,97,1.113,55,1.979,71,29%,97%,2.29%,7.36%,6.55%,-7.38%,-7.38%,0,4.14%,-35.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/30/2022,1.764,00,,,,,,,,,,4.65%,1.764,00,82.00,3.576,97,1.113,55,1.979,71,26%,103%,2.29%,7.36%,6.75%,-4.65%,-4.65%,0,4.14%,-37.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,3/31/2022,1.980,00,,,,,,,,,,4.14%,1.980,00,82.00,3.576,97,1.113,55,1.979,71,35%,81%,2.29%,7.36%,6.01%,-15.05%,-15.05%,0,4.14%,-29.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/1/2022,2.045,00,,,,,,,,,,4.01%,2.045,00,82.00,3.576,97,1.113,55,1.979,71,38%,75%,2.29%,7.36%,5.82%,-17.75%,-17.75%,0,4.14%,-26.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/4/2022,2.075,00,,,,,,,,,,3.95%,2.075,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.73%,-18.94%,-18.94%,0,4.14%,-25.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/5/2022,2.120,00,,,,,,,,,,3.87%,2.120,00,82.00,3.576,97,1.113,55,1.979,71,41%,69%,2.29%,7.36%,5.61%,-20.66%,-20.66%,0,4.14%,-24.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/6/2022,2.120,00,,,,,,,,,,3.87%,2.120,00,82.00,3.576,97,1.113,55,1.979,71,41%,69%,2.29%,7.36%,5.61%,-20.66%,-20.66%,0,4.14%,-24.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/7/2022,2.145,00,,,,,,,,,,3.82%,2.145,00,82.00,3.576,97,1.113,55,1.979,71,42%,67%,2.29%,7.36%,5.55%,-21.59%,-21.59%,0,4.14%,-23.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/8/2022,2.210,00,,,,,,,,,,3.71%,2.210,00,82.00,3.576,97,1.113,55,1.979,71,45%,62%,2.29%,7.36%,5.38%,-23.89%,-23.89%,0,4.14%,-21.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/11/2022,2.200,00,,,,,,,,,,3.73%,2.200,00,82.00,3.576,97,1.113,55,1.979,71,44%,63%,2.29%,7.36%,5.41%,-23.55%,-23.55%,0,4.14%,-21.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/12/2022,2.150,00,,,,,,,,,,3.81%,2.150,00,82.00,3.576,97,1.113,55,1.979,71,42%,66%,2.29%,7.36%,5.53%,-21.77%,-21.77%,0,4.14%,-23.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/13/2022,2.140,00,,,,,,,,,,3.83%,2.140,00,82.00,3.576,97,1.113,55,1.979,71,42%,67%,2.29%,7.36%,5.56%,-21.40%,-21.40%,0,4.14%,-23.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/14/2022,2.140,00,,,,,,,,,,3.83%,2.140,00,82.00,3.576,97,1.113,55,1.979,71,42%,67%,2.29%,7.36%,5.56%,-21.40%,-21.40%,0,4.14%,-23.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/19/2022,2.100,00,,,,,,,,,,3.90%,2.100,00,82.00,3.576,97,1.113,55,1.979,71,40%,70%,2.29%,7.36%,5.67%,-19.90%,-19.90%,0,4.14%,-25.00%,,,,,,,,,,,,
