,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REL LN,RELX PLC,,,,,,,,,,36%,40%,$2.682,00,$   2.077,71,$  2.467,79,$       4.135,00,$  3.766,30,3.08%,1.48%,2.21%,4.96%,138.19%,151.81%,122%,,,,,,,NO,,,2.88%,1.36%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RELX PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.69%,11/10/2017,,,,,,,,,,$  2.467,79,-8%,2.08%,$  3.766,30,$   1.436,97,$        1.126,00,$   1.209,83,1.35%,2.69%,2.27%,1.35%,-35.14%,-35.14%,-16%,,,,5Y CAGR,3.22%,,RELX PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,RELX PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RELX PLC - Rating: 36% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2020,11/27/2020,1.742,00,,,,,,,,,,2.62%,1.742,00,45.70,3.079,07,1.698,59,2.017,49,3%,77%,1.48%,2.69%,3.21%,53.96%,53.96%,0,2.27%,-17.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,11/30/2020,1.747,50,,,,,,,,,,2.62%,1.747,50,45.70,3.079,07,1.698,59,2.017,49,4%,76%,1.48%,2.69%,3.20%,53.48%,53.48%,0,2.27%,-16.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/1/2020,1.758,00,,,,,,,,,,2.60%,1.758,00,45.70,3.079,07,1.698,59,2.017,49,4%,75%,1.48%,2.69%,3.18%,52.56%,52.56%,0,2.27%,-16.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/2/2020,1.767,50,,,,,,,,,,2.59%,1.767,50,45.70,3.079,07,1.698,59,2.017,49,5%,74%,1.48%,2.69%,3.16%,51.74%,51.74%,0,2.27%,-15.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/3/2020,1.756,00,,,,,,,,,,2.60%,1.756,00,45.70,3.079,07,1.698,59,2.017,49,4%,75%,1.48%,2.69%,3.18%,52.73%,52.73%,0,2.27%,-16.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/4/2020,1.753,00,,,,,,,,,,2.61%,1.753,00,45.70,3.079,07,1.698,59,2.017,49,4%,76%,1.48%,2.69%,3.19%,52.99%,52.99%,0,2.27%,-16.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/7/2020,1.787,50,,,,,,,,,,2.56%,1.787,50,45.70,3.079,07,1.698,59,2.017,49,6%,72%,1.48%,2.69%,3.13%,50.04%,50.04%,0,2.27%,-14.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/8/2020,1.796,00,,,,,,,,,,2.54%,1.796,00,45.70,3.079,07,1.698,59,2.017,49,7%,71%,1.48%,2.69%,3.11%,49.33%,49.33%,0,2.27%,-14.44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/9/2020,1.804,50,,,,,,,,,,2.53%,1.804,50,45.70,3.079,07,1.698,59,2.017,49,8%,71%,1.48%,2.69%,3.10%,48.63%,48.63%,0,2.27%,-14.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/10/2020,1.821,50,,,,,,,,,,2.51%,1.821,50,45.70,3.079,07,1.698,59,2.017,49,9%,69%,1.48%,2.69%,3.07%,47.24%,47.24%,0,2.27%,-13.22%,,,,,,,,,,,,
