,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lotus Bakeries NV - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2023,10/11/2023,€                                                   7.180,00,,,,,,,,,,0.63%,€        7.180,00,45.00,10.839,00,3.770,69,6.222,29,48%,51%,0.42%,1.19%,0.63%,49.30%,49.30%,0,0.72%,-6.63%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/12/2023,€                                                  7.200,00,,,,,,,,,,0.63%,€       7.200,00,45.00,10.839,00,3.770,69,6.222,29,49%,51%,0.42%,1.19%,0.63%,48.89%,48.89%,0,0.72%,-6.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/13/2023,€                                                  7.000,00,,,,,,,,,,0.64%,€       7.000,00,45.00,10.839,00,3.770,69,6.222,29,46%,55%,0.42%,1.19%,0.64%,53.14%,53.14%,0,0.72%,-8.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/16/2023,€                                                  6.930,00,,,,,,,,,,0.65%,€       6.930,00,45.00,10.839,00,3.770,69,6.222,29,45%,56%,0.42%,1.19%,0.65%,54.69%,54.69%,0,0.72%,-9.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/17/2023,€                                                  6.970,00,,,,,,,,,,0.65%,€       6.970,00,45.00,10.839,00,3.770,69,6.222,29,45%,56%,0.42%,1.19%,0.65%,53.80%,53.80%,0,0.72%,-9.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/18/2023,€                                                  7.040,00,,,,,,,,,,0.64%,€       7.040,00,45.00,10.839,00,3.770,69,6.222,29,46%,54%,0.42%,1.19%,0.64%,52.27%,52.27%,0,0.72%,-8.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/19/2023,€                                                  6.930,00,,,,,,,,,,0.65%,€       6.930,00,45.00,10.839,00,3.770,69,6.222,29,45%,56%,0.42%,1.19%,0.65%,54.69%,54.69%,0,0.72%,-9.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/20/2023,€                                                  6.860,00,,,,,,,,,,0.66%,€       6.860,00,45.00,10.839,00,3.770,69,6.222,29,44%,58%,0.42%,1.19%,0.66%,56.27%,56.27%,0,0.72%,-10.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/23/2023,€                                                  6.930,00,,,,,,,,,,0.65%,€       6.930,00,45.00,10.839,00,3.770,69,6.222,29,45%,56%,0.42%,1.19%,0.65%,54.69%,54.69%,0,0.72%,-9.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/24/2023,€                                                  6.970,00,,,,,,,,,,0.65%,€       6.970,00,45.00,10.839,00,3.770,69,6.222,29,45%,56%,0.42%,1.19%,0.65%,53.80%,53.80%,0,0.72%,-9.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/25/2023,€                                                  7.030,00,,,,,,,,,,0.64%,€       7.030,00,45.00,10.839,00,3.770,69,6.222,29,46%,54%,0.42%,1.19%,0.64%,52.49%,52.49%,0,0.72%,-8.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/26/2023,€                                                  6.920,00,,,,,,,,,,0.65%,€       6.920,00,45.00,10.839,00,3.770,69,6.222,29,45%,57%,0.42%,1.19%,0.65%,54.91%,54.91%,0,0.72%,-10.01%,,,,,,,,,,,,
