,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RIO LN,Rio Tinto GBP,,,,,,,,,,90%,6%,$6.832,00,$  3.042,49,$  8.563,94,$      8.308,00,$  12.150,18,11.78%,4.35%,6.55%,20.48%,333.09%,382.36%,156%,,,,,,,NO,,,11.26%,3.47%,7.79%,0.10%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-0.74%,,Rio Tinto GBP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,10.38%,11/10/2017,,,,,,,,,,$   5.120,03,-25%,4.62%,$   7.264,10,$   1.750,72,$       1.577,50,$   1.040,33,3.28%,10.38%,6.17%,3.89%,-17.77%,-17.77%,-9%,,,,5Y CAGR,-8.51%,,Rio Tinto GBP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.33%,,Rio Tinto GBP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Rio Tinto GBP - Rating: 90% - Upside: 6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,2/9/2016,1.751,00,,,6/29/2015,,6/29/2015,,,,,6.17%,1.751,00,108.01,2.483,85,1.040,33,1.750,72,49%,42%,4.35%,10.38%,18.45%,290.18%,334.56%,777.23,6.17%,-9.72%,,2023,323.02,-38.86%,1/1/1993,1993,,26,6.07%,125,1338,4.63%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,1.765,00,,,7/6/2015,,7/6/2015,,,,,6.12%,1.765,00,108.01,2.483,85,1.040,33,1.750,72,50%,41%,4.35%,10.38%,18.30%,287.08%,331.12%,777.23,6.17%,-9.00%,,2024,341.49,5.72%,1/1/1994,1994,,27,6.17%,146,1484,5.41%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,1.705,00,,,7/13/2015,,7/13/2015,,,,,6.33%,1.705,00,108.01,2.483,85,1.040,33,1.750,72,46%,46%,4.35%,10.38%,18.95%,300.70%,346.29%,777.23,6.17%,-12.09%,,2025,284.02,-16.83%,1/1/1995,1995,,28,6.27%,124,1608,4.59%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,1.847,50,,,7/20/2015,,7/20/2015,,,,,5.85%,1.847,50,108.01,2.483,85,1.040,33,1.750,72,56%,34%,4.35%,10.38%,17.48%,269.80%,311.87%,777.23,6.17%,-4.74%,,2026,315.88,11.22%,1/1/1996,1996,,29,6.37%,112,1720,4.15%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,1.851,00,,,7/27/2015,,7/27/2015,,,,,5.84%,1.851,00,108.01,2.483,85,1.040,33,1.750,72,56%,34%,4.35%,10.38%,17.45%,269.10%,311.09%,777.23,6.17%,-4.56%,,,,,1/1/1997,1997,,30,6.47%,102,1822,3.78%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,1.852,00,,,8/3/2015,,8/3/2015,,,,,5.83%,1.852,00,108.01,2.483,85,1.040,33,1.750,72,56%,34%,4.35%,10.38%,17.44%,268.90%,310.87%,777.23,6.17%,-4.51%,,,,,1/1/1998,1998,,31,6.57%,63,1885,2.33%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,1.951,00,,,8/10/2015,,8/10/2015,,,,,5.54%,1.951,00,108.01,2.483,85,1.040,33,1.750,72,63%,27%,4.35%,10.38%,16.56%,250.18%,290.02%,777.23,6.17%,0.00%,,,,,1/1/1999,1999,,32,6.67%,56,1941,2.07%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,1.888,50,,,8/17/2015,,8/17/2015,,,,,5.72%,1.888,50,108.01,2.483,85,1.040,33,1.750,72,59%,32%,4.35%,10.38%,17.10%,261.77%,302.92%,777.23,6.17%,-3.20%,,,,,1/1/2000,2000,,33,6.77%,43,1984,1.59%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,1.891,50,,,8/24/2015,,8/24/2015,,,,,5.71%,1.891,50,108.01,2.483,85,1.040,33,1.750,72,59%,31%,4.35%,10.38%,17.08%,261.19%,302.29%,777.23,6.17%,-3.05%,,,,,1/1/2001,2001,,34,6.87%,48,2032,1.78%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,2.051,00,,,9/1/2015,,8/31/2015,,,,,5.27%,2.051,00,108.01,2.483,85,1.040,33,1.750,72,70%,21%,4.35%,10.38%,15.75%,233.11%,271.00%,777.23,6.17%,0.00%,,,,,1/1/2002,2002,,35,6.97%,28,2060,1.04%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,1.988,00,,,9/7/2015,,9/8/2015,,,,,5.43%,1.988,00,108.01,2.483,85,1.040,33,1.750,72,66%,25%,4.35%,10.38%,16.25%,243.66%,282.76%,777.23,6.17%,-3.07%,,,,,1/1/2003,2003,,36,7.07%,24,2084,0.89%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,1.874,00,,,9/14/2015,,9/14/2015,,,,,5.76%,1.874,00,108.01,2.483,85,1.040,33,1.750,72,58%,33%,4.35%,10.38%,17.24%,264.57%,306.04%,777.23,6.17%,-8.63%,,,,,1/1/2004,2004,,37,7.17%,16,2100,0.59%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,1.806,50,,,9/21/2015,,9/21/2015,,,,,5.98%,1.806,50,108.01,2.483,85,1.040,33,1.750,72,53%,37%,4.35%,10.38%,17.88%,278.19%,321.21%,777.23,6.17%,-11.92%,,,,,1/1/2005,2005,,38,7.27%,7,2107,0.26%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,1.860,50,,,9/28/2015,,9/28/2015,,,,,5.81%,1.860,50,108.01,2.483,85,1.040,33,1.750,72,57%,34%,4.35%,10.38%,17.36%,267.21%,308.99%,777.23,6.17%,-9.29%,,,,,1/1/2006,2006,,39,7.37%,6,2113,0.22%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,1.904,00,,,10/5/2015,,10/5/2015,,,,,5.67%,1.904,00,108.01,2.483,85,1.040,33,1.750,72,60%,30%,4.35%,10.38%,16.97%,258.82%,299.64%,777.23,6.17%,-7.17%,,,,,1/1/2007,2007,,40,7.47%,8,2121,0.30%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,1.940,00,,,10/12/2015,,10/12/2015,,,,,5.57%,1.940,00,108.01,2.483,85,1.040,33,1.750,72,62%,28%,4.35%,10.38%,16.65%,252.16%,292.23%,777.23,6.17%,-5.41%,,,,,1/1/2008,2008,,41,7.57%,7,2128,0.26%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,2.007,50,,,10/19/2015,,10/19/2015,,,,,5.38%,2.007,50,108.01,2.483,85,1.040,33,1.750,72,67%,24%,4.35%,10.38%,16.09%,240.32%,279.04%,777.23,6.17%,-2.12%,,,,,1/1/2009,2009,,42,7.67%,5,2133,0.19%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,2.012,00,,,10/26/2015,,10/26/2015,,,,,5.37%,2.012,00,108.01,2.483,85,1.040,33,1.750,72,67%,23%,4.35%,10.38%,16.05%,239.56%,278.19%,777.23,6.17%,-1.90%,,,,,1/1/2010,2010,,43,7.77%,19,2152,0.70%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,2.130,00,,,11/2/2015,,11/2/2015,,,,,5.07%,2.130,00,108.01,2.483,85,1.040,33,1.750,72,75%,17%,4.35%,10.38%,15.17%,220.75%,257.24%,777.23,6.17%,0.00%,,,,,1/1/2011,2011,,44,7.87%,19,2171,0.70%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,2.237,00,,,11/9/2015,,11/9/2015,,,,,4.83%,2.237,00,108.01,2.483,85,1.040,33,1.750,72,83%,11%,4.35%,10.38%,14.44%,205.41%,240.15%,777.23,6.17%,0.00%,,,,,1/1/2012,2012,,45,7.97%,26,2197,0.96%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,2.026,00,,,11/16/2015,,11/16/2015,,,,,5.33%,2.026,00,108.01,2.483,85,1.040,33,1.750,72,68%,23%,4.35%,10.38%,15.94%,237.22%,275.58%,777.23,6.17%,-9.43%,,,,,1/1/2013,2013,,46,8.07%,29,2226,1.07%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,2.030,50,,,11/23/2015,,11/23/2015,,,,,5.32%,2.030,50,108.01,2.483,85,1.040,33,1.750,72,69%,22%,4.35%,10.38%,15.91%,236.47%,274.75%,777.23,6.17%,-9.23%,,,,,1/1/2014,2014,,47,8.17%,21,2247,0.78%
