,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CWK LN,Cranswick PLC,,,,,,,,,,107%,-3%,$5.480,00,$   3.204,17,$  4.520,00,$      5.690,00,$  5.340,43,2.95%,1.53%,1.90%,4.31%,189.95%,200.33%,126%,,,,,,,NO,,,2.79%,1.44%,1.35%,0.02%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cranswick PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.54%,11/10/2017,,,,,,,,,,$  4.520,00,-18%,1.49%,$  5.340,43,$   2.162,94,$       1.890,00,$   1.533,28,1.38%,2.54%,1.80%,1.43%,-3.69%,-3.69%,-21%,,,,5Y CAGR,2.71%,,Cranswick PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.65%,,Cranswick PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cranswick PLC - Rating: 107% - Upside: -3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,2/22/2016,2.003,00,,,9/1/2015,,8/31/2015,,,,,1.95%,2.003,00,39.00,2.555,55,1.533,28,2.162,94,46%,28%,1.53%,2.54%,4.07%,173.59%,183.39%,196.3,1.80%,-4.62%,,,,,1/1/2002,2002,,35,2.14%,17,2175,0.63%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,1.986,00,,,9/7/2015,,9/8/2015,,,,,1.96%,1.986,00,39.00,2.555,55,1.533,28,2.162,94,44%,29%,1.53%,2.54%,4.10%,175.93%,185.82%,196.3,1.80%,-5.43%,,,,,1/1/2003,2003,,36,2.16%,25,2200,0.93%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,1.966,00,,,9/14/2015,,9/14/2015,,,,,1.98%,1.966,00,39.00,2.555,55,1.533,28,2.162,94,42%,30%,1.53%,2.54%,4.15%,178.74%,188.72%,196.3,1.80%,-6.38%,,,,,1/1/2004,2004,,37,2.18%,16,2216,0.59%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,1.996,00,,,9/21/2015,,9/21/2015,,,,,1.95%,1.996,00,39.00,2.555,55,1.533,28,2.162,94,45%,28%,1.53%,2.54%,4.08%,174.55%,184.38%,196.3,1.80%,-4.95%,,,,,1/1/2005,2005,,38,2.20%,19,2235,0.70%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,2.008,00,,,9/28/2015,,9/28/2015,,,,,1.94%,2.008,00,39.00,2.555,55,1.533,28,2.162,94,46%,27%,1.53%,2.54%,4.06%,172.91%,182.68%,196.3,1.80%,-4.38%,,,,,1/1/2006,2006,,39,2.22%,23,2258,0.85%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,1.946,00,,,10/5/2015,,10/5/2015,,,,,2.00%,1.946,00,39.00,2.555,55,1.533,28,2.162,94,40%,31%,1.53%,2.54%,4.19%,181.60%,191.69%,196.3,1.80%,-7.33%,,,,,1/1/2007,2007,,40,2.24%,20,2278,0.74%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,1.969,00,,,10/12/2015,,10/12/2015,,,,,1.98%,1.969,00,39.00,2.555,55,1.533,28,2.162,94,43%,30%,1.53%,2.54%,4.14%,178.31%,188.28%,196.3,1.80%,-6.24%,,,,,1/1/2008,2008,,41,2.26%,12,2290,0.44%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,1.965,00,,,10/19/2015,,10/19/2015,,,,,1.98%,1.965,00,39.00,2.555,55,1.533,28,2.162,94,42%,30%,1.53%,2.54%,4.15%,178.88%,188.87%,196.3,1.80%,-6.43%,,,,,1/1/2009,2009,,42,2.28%,13,2303,0.48%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,1.963,00,,,10/26/2015,,10/26/2015,,,,,1.99%,1.963,00,39.00,2.555,55,1.533,28,2.162,94,42%,30%,1.53%,2.54%,4.15%,179.16%,189.16%,196.3,1.80%,-6.52%,,,,,1/1/2010,2010,,43,2.30%,12,2315,0.44%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,1.985,00,,,11/2/2015,,11/2/2015,,,,,1.96%,1.985,00,39.00,2.555,55,1.533,28,2.162,94,44%,29%,1.53%,2.54%,4.11%,176.07%,185.96%,196.3,1.80%,-5.48%,,,,,1/1/2011,2011,,44,2.32%,20,2335,0.74%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,1.985,00,,,11/9/2015,,11/9/2015,,,,,1.96%,1.985,00,39.00,2.555,55,1.533,28,2.162,94,44%,29%,1.53%,2.54%,4.11%,176.07%,185.96%,196.3,1.80%,-5.48%,,,,,1/1/2012,2012,,45,2.34%,16,2351,0.59%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,1.930,00,,,11/16/2015,,11/16/2015,,,,,2.02%,1.930,00,39.00,2.555,55,1.533,28,2.162,94,39%,32%,1.53%,2.54%,4.22%,183.94%,194.11%,196.3,1.80%,-8.10%,,,,,1/1/2013,2013,,46,2.36%,8,2359,0.30%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,1.961,00,,,11/23/2015,,11/23/2015,,,,,1.99%,1.961,00,39.00,2.555,55,1.533,28,2.162,94,42%,30%,1.53%,2.54%,4.16%,179.45%,189.46%,196.3,1.80%,-6.62%,,,,,1/1/2014,2014,,47,2.38%,5,2364,0.19%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,1.985,00,,,11/30/2015,,11/30/2015,,,,,1.96%,1.985,00,39.00,2.555,55,1.533,28,2.162,94,44%,29%,1.53%,2.54%,4.11%,176.07%,185.96%,196.3,1.80%,-5.48%,,,,,1/1/2015,2015,,48,2.40%,15,2379,0.56%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,1.990,00,,,12/7/2015,,12/7/2015,,,,,1.96%,1.990,00,39.00,2.555,55,1.533,28,2.162,94,45%,28%,1.53%,2.54%,4.10%,175.38%,185.24%,196.3,1.80%,-5.24%,,,,,1/1/2016,2016,,49,2.42%,19,2398,0.70%
